

==============================================
TABELA DAILY MARKET SCAN
MARKET DATE: 2026-09-23

MARKET STATISTICS
----------------------------------------------------------------------------------------------------------
ETF            State     1D%     5D%    20D%    50D%   200D%  Vol(M) AvgV(M)    20Dist    50Dist   200Dist
----------------------------------------------------------------------------------------------------------
SPY              N/A   -0.55   +1.82   +1.01   +2.93  +13.69     7.7    40.2     +0.77     +1.38     +7.82
QQQ    Consolidation   -0.28   +5.06   +4.79   +4.00  +19.14     9.1    30.6     +3.32     +4.12    +11.64
IWM              N/A   -0.72   -0.57   -4.60   -3.14  +14.73     5.5    20.1     -2.41     -3.58     +3.51
DIA    Consolidation   -0.49   -0.54   -2.86   -1.05   +9.30     0.8     3.1     -1.58     -1.81     +3.83

==============================================

========================================
THEME BREADTH ANALYSIS
Legend: [No Prefix] = Long Candidate / # = Distribution
        + - = 1D Rank Delta
========================================
Micro Theme                    Macro Theme        Tot Qual   Score   Macro State & Movement          Stocks
-----------------------------------------------------------------------------------------------------------------------------
Refining & Marketing           Exploration          8    8  214.23   Neutral (14 -> +7)              MPC, DINO, PBF, DK, VLO,
Aerospace & Defense            Aerospace & Defe..  39    0    0.00   Lagging (38)                    #ASLE, #EH
Infrastructure                 Infrastructure     114    0    0.00   Lagging (34 -> +1)              #CSIQ, #DQ, #HE, #JKS,
                                                                                                     #ORN, #PNR, #TU
Industrial Automation          Infrastructure      45    0    0.00   Lagging (34 -> +1)              #MIDD
Nuclear Infrastructure         Uranium Mining       3    0    0.00   Lagging (42)                    #TLN
Medical Devices                Medical Devices     99    0    0.00   Lagging (37)                    #COO, #ENOV, #PRCT,
                                                                                                     #QDEL, #RXST
Footwear/Apparel               Retail              45    0    0.00   Lagging (36 -> -1)              #GOOS, #LULU, #NKE,
                                                                                                     #OXM, #SFIX, #ZUMZ
REITs                          REITs              137    0    0.00   Lagging (35 -> +3)              #ABR, #BHR, #BRSP,
                                                                                                     #BXMT, #CMTG, #MPT,
                                                                                                     #NXRT, #PMT, #SITC,
                                                                                                     #SVC, #WSC
Transportation/Shipping        Transportation/S..  58    0    0.00   Lagging (32 -> -1)              #CAR

========================================
LONG CANDIDATE UNIVERSE
Legend: ^ = Micro Leader | ~ = Unknown/Unclassified
========================================
Ticker                 Mapped_Theme  RS_Rating Long_Score Zacks Rank Movement  Days
   STX                 Data Storage         98      96.74          1        0    52
  SNDK                       Memory         99      93.99          3       +2    52
  FIVN         Communications Cloud         98      93.95          1       -1    31
   ASX               Semiconductors         97      93.89          1       +1     6
  SIMO                       Memory         95      93.69          1       +1     6
    MU                       Memory         99      93.29          3       +2    52
   UMC                      Foundry         98      93.14          2       -4    17
  SMTC               Semiconductors         95      93.09          1       +2     6
  AXTI               Semiconductors         99      92.59          1       +2    13
  PGEN                Biotechnology         95      92.52          1       -3    26
  LITE           Optical Networking         95      92.49          2       +2     6
  HALO                      Biotech         95      92.12          2       -3    31
  DELL                   AI Servers         99      91.57          1       NA     1
  FSLY         Cloud Infrastructure         98      91.55          2       -2     9
  FTNT                Cybersecurity         95      91.25          1       NA     1
   WDC                       Memory         90      90.84          2       +4     2
   MXL               Semiconductors         99      90.79          3       +4    52
  IOVA                      Biotech         99      90.72          3       -4    32
  ABCL                      Biotech         99      90.72          3       -4    32
  IBRX                      Biotech         99      90.72          3       -4    52
  PAYC                     Software         95      90.55          1       NA     1
  DOCN         Cloud Infrastructure         97      90.30          3       -5     6
  TWLO         Communications Cloud         97      90.30          3       -5     7
   CUE                      Biotech         98      90.17          3       -5     3
  VICR               Semiconductors         90      90.14          2       -1     2
   RNG         Communications Cloud         99      89.80          3       -4    40
   ARW      Semiconductor Equipment         90      89.74          1       -2     3
  PAYS             Digital Payments         98      89.70          3       NA     1
  VSTM                      Biotech         97      89.62          3       -6    19
  PLTR                  AI Platform         90      89.62          1       NA     1
   HPE                   AI Servers         98      89.52          2       NA     1
   NIQ                     Software         95      88.75          1       NA     1
   AMD                   AI Compute         98      88.72          3       NA     1
  SMCI            AI Infrastructure         90      88.72          1       NA     1
  OBIO                      Biotech         95      88.52          3       -9     5
  QLYS                Cybersecurity         90      88.50          1       NA     1
  QMCO                   AI Compute         99      88.47          2       NA     1
  TEAM     Developer Infrastructure         98      88.40          3       NA     1
  ANET                AI Networking         90      88.22          1       NA     1
   NET         Cloud Infrastructure         95      88.10          3      -13     7
   ARM                   AI Compute         97      88.07          3       NA     1
  OKTA                Cybersecurity         98      88.00          3       NA     1
  AEHR      Semiconductor Equipment         99      87.99          3      -11    38
  COHU        Semiconductor Testing         95      87.89          3      -10     3
  NTAP          Data Infrastructure         90      87.80          1       NA     1
  MRVL                      AI ASIC         95      87.67          3       NA     1
 RCRUY            Business Software         98      87.60          3       NA     1
  BAND Communication Infrastructure         98      87.49          3      -15     9
  NBIS            AI Infrastructure         95      87.47          3       NA     1
  ^MPC         Refining & Marketing         98      87.46          1       -3     2
 ^DINO         Refining & Marketing         98      87.46          1       -3     2
  AAOI           Optical Networking         90      87.24          3      -11     3
  ^PBF         Refining & Marketing         98      87.16          1       -3     2
   ^DK         Refining & Marketing         98      87.16          1       -3     2
  STLN                      Biotech         95      87.12          3      -25     5
  OOMA         Communications Cloud         90      87.05          2      -25    17
  ESTC          Data Infrastructure         90      87.00          2       NA     1
  ^VLO         Refining & Marketing         97      86.91          1       -5     2
  KNSA                Biotechnology         90      86.67          3      -24    35
  NTSK                     Software         90      86.60          2       NA     1
  MRNA                      Biotech         99      86.52          3      -25    23
  ARCT                      Biotech         99      86.52          3      -25    23
  GRAL                      Biotech         95      86.42          3      -25     3
  XNCR                Biotechnology         95      86.42          3      -25    32
 ^CLMT         Refining & Marketing         99      86.21          2       NA     1
     S                Cybersecurity         95      86.15          3       NA     1
  HNGE               Digital Health         90      86.00          3       NA     1
  PUBM                     Software         95      85.85          2       NA     1
  ^PSX         Refining & Marketing         95      85.81          1       NA     1
  CAKE                  Restaurants         90      85.80          1      -21    40
  NVAX                      Biotech         90      85.77          3      -26     2
  MANH                     Software         90      85.70          2       NA     1
  AMBQ               Semiconductors         90      85.54          2      -19     3
  BLZE                     Software         95      85.45          3       NA     1
  SNOW         Cloud Infrastructure         90      85.35          3      -46     7
   SNX                     Software         90      85.10          2       NA     1
    TX                Copper Mining         90      85.01          1      -34     2

========================================
DISTRIBUTION WATCHLIST
Legend: ^ = Micro Laggard
========================================
Ticker            Mapped_Theme  RS_Rating Long_Score Zacks Rank Movement  Days
  QDEL         Medical Devices          1      13.99          5        0    15
   OXM        Footwear/Apparel          1      15.08          5       +4     7
    DQ          Infrastructure          1      15.45          5       -1     9
  MIDD   Industrial Automation          1      15.45          5       -1     9
   JKS          Infrastructure          1      15.45          5       -1     9
  BXMT                   REITs          1      15.57          5       +1     2
  BLDR      Building Materials          1      16.05          5       -2     9
   COO         Medical Devices          1      16.59          5        0     9
   PMT                   REITs          1      16.77          5       +6     2
  SITC                   REITs          1      16.77          5       +6     2
  BRSP                   REITs          1      16.96          4       +7     2
  CMTG                   REITs          1      16.96          4       +8     2
  LULU        Footwear/Apparel          1      17.08          5       +9    12
    TU          Infrastructure          1      17.45          4       -5     9
   MPT                   REITs          1      17.57          4      +10     2
    EH     Aerospace & Defense          1      17.60          4       -2     2
  AMRZ      Building Materials          1      17.75          5       -7     9
   KNF      Building Materials          1      17.75          5       -7     9
  RXST         Medical Devices          1      17.99          3       +2     3
   PNR          Infrastructure          1      18.05          5       -8     9
  CSIQ          Infrastructure          1      18.05          4       -8     9
   TLN  Nuclear Infrastructure          1      18.35          3       +2     9
    HE          Infrastructure          1      18.35          4       -6     9
   CAR Transportation/Shipping          1      18.43          4       NA     1
  ZUMZ        Footwear/Apparel          1      18.48          4       +6     6
   LII      Building Materials          1      18.65          4       -3     9
   NKE        Footwear/Apparel          1      18.78          4      +11     7
   SVC                   REITs          1      18.96          3      +11     2
  NXRT                   REITs          1      18.96          3      +11     2
  ASLE     Aerospace & Defense         10      19.05          5       -1    15
  SFIX        Footwear/Apparel          1      19.08          3       NA     1
   LMB      Building Materials          1      19.15          5       -6     9
  GOOS        Footwear/Apparel          1      19.18          4       NA     1
  ENOV         Medical Devices          1      19.39          3       -4    14
   ORN          Infrastructure          1      19.45          4       -8     9
  PRCT         Medical Devices          1      19.49          4       -4     3
   WSC                   REITs          1      19.57          3       NA     1
   BHR                   REITs          1      19.57          3       NA     1
   ABR                   REITs          1      19.87          3       NA     1

TRADINGVIEW WATCHLIST EXPORT
###LONG,STX,SNDK,FIVN,ASX,SIMO,MU,UMC,SMTC,AXTI,PGEN,LITE,HALO,DELL,FSLY,FTNT,WDC,MXL,IOVA,ABCL,IBRX,PAYC,DOCN,TWLO,CUE,VICR,RNG,ARW,PAYS,VSTM,PLTR,HPE,NIQ,AMD,SMCI,OBIO,QLYS,QMCO,TEAM,ANET,NET,ARM,OKTA,AEHR,COHU,NTAP,MRVL,RCRUY,BAND,NBIS,MPC,DINO,AAOI,PBF,DK,STLN,OOMA,ESTC,VLO,KNSA,NTSK,MRNA,ARCT,GRAL,XNCR,CLMT,S,HNGE,PUBM,PSX,CAKE,NVAX,MANH,AMBQ,BLZE,SNOW,SNX,TX,
###SHORT,QDEL,OXM,DQ,MIDD,JKS,BXMT,BLDR,COO,PMT,SITC,BRSP,CMTG,LULU,TU,MPT,EH,AMRZ,KNF,RXST,PNR,CSIQ,TLN,HE,CAR,ZUMZ,LII,NKE,SVC,NXRT,ASLE,SFIX,LMB,GOOS,ENOV,ORN,PRCT,WSC,BHR,ABR,
###LONG_Dropped,AGL,APA,AUGO,AVAH,BTE,CGAU,CHEF,CNQ,CON,COP,CORT,CRGY,CRL,CRM,CSTL,CVE,CVI,EAT,ELF,EQNR,ERO,ETON,FDMT,FTI,FTK,HP,ICHR,KYMR,LB,LFST,LNG,LNVGY,MTA,NESR,NRIX,OABI,OII,OSCR,PARR,PBR,PBYI,PR,PTEN,PTGX,RCEL,RIGL,RPRX,SM,SSRM,TALO,TDW,THC,TVTX,UMAC,URGN,VIR,VSAT,WPM,ZLAB,
###SHORT_Dropped,ACM,AGNT,AHCO,ARI,ATS,BSX,BW,BWXT,CPRI,FBIN,IVR,JBI,KBH,KEP,KTOS,LEN,LHX,LPX,LUNR,MEC,MTRX,MTZ,NRG,OMCL,ONON,ROL,SARO,SHOE,STAA,SYK,TCMD,VFC,WGO,WSO,

==============================================
END OF TABELA SCAN - 2026-09-23
==============================================
