

==============================================
TABELA DAILY MARKET SCAN
MARKET DATE: 2026-09-23

MARKET STATISTICS
----------------------------------------------------------------------------------------------------------
ETF            State     1D%     5D%    20D%    50D%   200D%  Vol(M) AvgV(M)    20Dist    50Dist   200Dist
----------------------------------------------------------------------------------------------------------
SPY              N/A   -0.55   +1.82   +1.01   +2.93  +13.69     7.7    40.2     +0.77     +1.38     +7.82
QQQ    Consolidation   -0.28   +5.06   +4.79   +4.00  +19.14     9.1    30.6     +3.32     +4.12    +11.64
IWM              N/A   -0.72   -0.57   -4.60   -3.14  +14.73     5.5    20.1     -2.41     -3.58     +3.51
DIA    Consolidation   -0.49   -0.54   -2.86   -1.05   +9.30     0.8     3.1     -1.58     -1.81     +3.83

==============================================

========================================
THEME BREADTH ANALYSIS
Legend: [No Prefix] = Long Candidate / # = Distribution
        + - = 1D Rank Delta
========================================
Micro Theme                    Macro Theme        Tot Qual   Score   Macro State & Movement          Stocks
-----------------------------------------------------------------------------------------------------------------------------
Refining & Marketing           Exploration          8    8  214.23   Neutral (14 -> +7)              MPC, DINO, PBF, DK, VLO,
                                                                                                     CLMT, PSX
AI Compute                     Artificial Intel..   5    5  172.73   Leading (11 -> +1)              AMD, QMCO, ARM
Cloud Infrastructure           Cloud Computing      5    5  164.84   Leading (5)                     FSLY, DOCN, NET, SNOW
Communications Cloud           Cloud Computing      4    4  154.51   Leading (5)                     FIVN, TWLO, RNG, OOMA
Memory                         Semiconductors       4    4  154.10   Leading (4)                     SNDK, SIMO, MU, WDC
Biotechnology                  Biotech              4    4  152.49   Leading (7)                     PGEN, KNSA, XNCR
Cybersecurity                  Software            13    6  114.69   Leading (9 -> +3)               FTNT, QLYS, OKTA, S
AI Servers                     Artificial Intel..   2    2  108.21   Leading (11 -> +1)              DELL, HPE
Data Infrastructure            Software             4    3  104.61   Leading (9 -> +3)               NTAP, ESTC
Semiconductor Testing          Semiconductors       2    2   96.13   Leading (4)                     COHU
Developer Infrastructure       Software             3    2   89.19   Leading (9 -> +3)               TEAM
Semiconductor Equipment        Semiconductors      27    8   85.03   Leading (4)                     ARW, AEHR
Foundry                        Semiconductors       3    2   82.26   Leading (4)                     UMC
Biotech                        Biotech            107   20   80.51   Leading (7)                     HALO, IOVA, ABCL, IBRX,
                                                                                                     CUE, VSTM, OBIO, STLN,
                                                                                                     MRNA, ARCT, GRAL, NVAX
Semiconductors                 Semiconductors      44   10   78.74   Leading (4)                     ASX, SMTC, AXTI, MXL,
                                                                                                     VICR, AMBQ
Optical Networking             Semiconductors       8    3   72.78   Leading (4)                     LITE, AAOI
Data Storage                   Semiconductors       1    1   67.93   Leading (4)                     STX
Communication Infrastructure   Telecom              1    1   67.93   Leading (8 -> +1)               BAND
AI ASIC                        Artificial Intel..   1    1   65.85   Leading (11 -> +1)              MRVL
Digital Health                 Software             1    1   62.38   Leading (9 -> +3)               HNGE
AI Infrastructure              Artificial Intel..   6    2   59.99   Leading (11 -> +1)              SMCI, NBIS
Software                       Software           206   22   51.00   Leading (9 -> +3)               PAYC, NIQ, NTSK, PUBM,
                                                                                                     MANH, BLZE, SNX
Copper Mining                  Copper Mining       10    2   43.16   Leading (10 -> -4)              TX
AI Networking                  Artificial Intel..   3    1   41.58   Leading (11 -> +1)              ANET
Digital Payments               Software             4    1   39.43   Leading (9 -> +3)               PAYS
AI Platform                    Artificial Intel..   4    1   36.21   Leading (11 -> +1)              PLTR
Business Software              Software             6    1   31.79   Leading (9 -> +3)               RCRUY
Restaurants                    Consumer Staples    28    1   10.82   Leading                         CAKE
Building Materials             Infrastructure      47    0    0.00   Lagging (34 -> +1)              #AMRZ, #BLDR, #KNF,
                                                                                                     #LII, #LMB
