Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","6605.53","52.03","3019734","10.07","21.76","145.43","100","181.5","5.25","-12.18","52.03","11.34","85","Medical","Medical Info Systems","-12.18","3"
"3M","MMM","94325.63","182.9","3878992","3.76","16.11","25.08","100",".81","1.52","18.35","182.9","141.2","93","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","561.97","10.75","610401","5.6","-12.67","17.49","67.18","26.48","230194.59","-182.34","13.3","5.53","100","Medical","Medical - Drugs","-182.34","3"
"A. O. Smith","AOS","8695.43","63.98","1849094","6.4","5.86","14.23","33.21","-15.58",".32","13.6","80.47","55.78","65","Industrial Products","Manufacturing - Electronics","13.15","4"
"A10 Networks","ATEN","1932.43","26.84","1414147","-9.23","-27.79","-3.97","47.73","33.88","11.03","23.3","38.11","16.55","102","Computer and Technology","Internet - Software","13.85","3"
"AAON","AAON","7767.69","94.83","1106483","6.48","-16.93","-30.01","29.87","9.74","20.11","7.45","148.25","72.07","29","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"AAR","AIR","5707.02","143.06","479517","2.16","5.45","36.83","91.8","52.48","18.97","5.89","149.43","71.73","70","Aerospace","Aerospace - Defense Equipment","5.67","1"
"ABB","ABBNY","183883.36","100.86","424247","2.27","-2.37","-2.94","80.17","20.32","1.13","13.74","109.73","65","65","Industrial Products","Manufacturing - Electronics","13.86","3"
"ABCELLERA BIOLG","ABCL","2124.82","6.93","5001662","21.37","1.91","69.44","77.71","78.81","160.56","-248.83","8.12","2.78","150","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2843.52","48.54","439484","1.32","8.83","23.26","90.87","1.26","4.62","2.32","49.66","37.39","206","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","5033.04","29.21","1693042","12.91","11.4","36.49","100","-3.5","11.87","9.31","29.21","20.06","150","Medical","Medical - Biomedical and Genetics","33.42","2"
"ACI Worldwide","ACIW","5418.27","53.67","1155195","-6.38","-4.87","28.83","70.01","-.94","10.38","17.86","60.18","38.47","80","Computer and Technology","Computer - Software","12.4","2"
"ACM Research","ACMR","5131.33","83.8","1030950","6.79","-18.64","31.62","58.15","87.44","15.24","10.69","126.89","23.92","103","Computer and Technology","Semiconductor Equipment - Material Services","14.48","3"
"ACV Auctions","ACVA","1302.4","7.46","2884562","-.4","11.84","26.01","32.51","-17.92","19.22","3.8","14.33","4.15","207","Business Services","Auction and Valuation Services","-7.97","3"
"ADEIA INC","ADEA","3113.21","28.23","1296763","5.93","-2.59","-5.52","75.33","44.41","17.91","44.9","33.63","11.74","160","Business Services","Technology Services","26.05","4"
"ADT","ADT","5581.47","7.64","8093325","0","13.86","11.86","52.55","-16.46","4.72","14.42","8.85","6.3","103","Industrial Products","Security and Safety Services","11.85","3"
"ADTRAN Holdings, Inc.","ADTN","616","7.56","2553105","-11.16","-43.75","-49.3","2.55","-23.23","17.46","2.48","19.4","7.25","54","Computer and Technology","Communication - Components","-2.29","4"
"AECOM","ACM","9747.18","75.84","1476142","4.77","11.12","6.35","13.31","-29.8",".21","9.55","134.35","66.86","98","Construction","Engineering - R and D Services","3.16","4"
"AES","AES","10508.95","14.73","6989213",".34","-.34","1.8","46.54","-9.36","-.37","15.08","17.28","12.51","160","Utilities","Utility - Electric Power","14.3","3"
"AGCO","AGCO","7201.36","102.83","893455",".66","-10.05","-9.22","6.67","-13.02","-13.55","4.18","140.49","100.14","73","Industrial Products","Manufacturing - Farm Equipment","5.15","4"
"AGNC Investment","AGNC","12850.62","10.84","21084422","1.69","-2.61","4.84","53.17","-10.77","19.46","186.81","12.17","9.33","181","Finance","REIT and Equity Trust","57.94","3"
"AH Realty Trust Inc","AHRT","697.94","6.93","676611","-.43","-1.98","6.78","73.86","-7.63","-59.74","-1.97","7.56","5.15","80","Finance","REIT and Equity Trust - Other","-18.23","4"
"AIRO Group Holdings, Inc.","AIRO","267.92","8.52","373720","26.41","35.67","33.75","13.39","-8.09","4.57","-19.98","25.79","5.85","70","Aerospace","Aerospace - Defense","-19.98","3"
"AMC Global Media Inc.","AMCX","489.23","11.86","857064","5.89","19.56","42.89","97.22","9.93","-4.52","1.69","12.03","5.92","185","Consumer Discretionary","Media Conglomerates","-.88","1"
"AMETEK","AME","58139.63","253.66","1185549","4.94","8.41","11.3","98.54","9.02","6.63","23.32","254.76","179.28","6","Computer and Technology","Electronics - Testing Equipment","20.04","2"
"AMN Healthcare Services","AMN","1396.3","36","789078","7.05","11.21","25.83","100","101.57","-8.49","3.97","36","15.1","206","Business Services","Business - Services","3.06","2"
"ANI Pharmaceuticals","ANIP","1779.83","78.25","331334","-1.25","-4.65",".31","31.01","-12.53","43.78","18.68","98.81","69.01","150","Medical","Medical - Biomedical and Genetics","11.07","4"
"APA","APA","13298.46","37.63","5559558",".83","12.53","-3.46","74.33","35.75","-5.31","21.07","44.39","18.06","216","Oils-Energy","Oil and Gas - Exploration and Production - United States","19.48","4"
"APi Group","APG","18029.73","41.72","2817170","5.14",".87","-3.54","51.27","-3.78","12.72","15.24","49.4","33.64","206","Business Services","Business - Services","3.99","3"
"ARKO","ARKO","634.97","5.66","683791","-29.16","-29.86","-19.03","38.17","10.01","-12.47",".19","8.64","3.82","215","Consumer Staples","Consumer Products - Staples",".19","3"
"ARM Holdings PLC Sponsored ADR","ARM","301807.03","282.57","6303065","17.89","-12.62","35.1","53.15","128.11","22.79","38.85","439.46","104.55","31","Computer and Technology","Electronics - Semiconductors","20.25","3"
"ARMOUR Residential REIT","ARR","2361.1","16.68","4062947","1.28","-2.17","-1.77","51.87","-16.8","45.28","148.59","19.12","14.05","181","Finance","REIT and Equity Trust","44.9","3"
"ARS Pharmaceuticals, Inc.","SPRY","611.71","6.16","2450027","20.08","-22.42","-17.04","8.02","-53.34","-5.46","-200","17.98","5.13","100","Medical","Medical - Drugs","-200","2"
"ASE Technology","ASX","83137.22","37.39","9277148","6.31","-12.35","10.59","78.22","104.93","11.82","8.52","45.12","9.63","31","Computer and Technology","Electronics - Semiconductors","8.52","1"
"ASHLAND INC","ASH","3500.9","76.45","789295","5.29","14.53","40.28","100","14.98","-13.68","8.19","76.45","47.49","87","Basic Materials","Chemical - Specialty","2.82","3"
"ASML Holding","ASML","684703","1740.99","1933185","6.87","-3.13","15.93","80.87","43.6","20.81","30.11","1989.44","690.96","6","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","30.11","3"
"AST SpaceMobile","ASTS","27921.68","71.94","16128909","21.97","-1.88","-14.02","36.42","-12.6","1505.21","-573.67","133.09","36.91","103","Computer and Technology","Wireless Equipment","-573.67","3"
"AT&T","T","163018.27","23.79","76682168","2.32","12.59","-1","36.21","-15.49","2.71","12.77","29.62","20.48","174","Computer and Technology","Wireless National","16.94","3"
"ATI INC","ATI","31093.42","227.84","1646520","21.55","21.81","47.74","100","75.19","5.16","11.84","227.84","71.34","70","Aerospace","Aerospace - Defense Equipment","10.09","2"
"AXT","AXTI","5795.19","88.58","11703422","46.58","54.83","-28.44","62.35","378.07","-11.11","6.27","140.83","2.05","31","Computer and Technology","Electronics - Semiconductors","3.23","3"
"Abacus Global Management, Inc.","ABX","913.18","9.52","579671","-7.66","-14.31","4.73","64.47","-1.75","110.18","33.55","12","5.02","152","Finance","Financial - Miscellaneous Services","10.55","2"
"AbbVie","ABBV","434701.69","246.04","5699882","-1.95","-.82","16.94","74.24","-4.98","8.57","30.03","263.3","196.3","219","Medical","Large Cap Pharmaceuticals","9.8","3"
"Abbott Laboratories","ABT","186552.63","107.81","12272226","2","14.78","27.63","46.71","-24.07","5.67","19.79","136.62","82.56","157","Medical","Medical - Products","11.65","3"
"Abercrombie & Fitch","ANF","5003.9","112.62","969100","13.14","21.01","59.59","73.18","-21.05","6.42","8.8","129.85","65.61","92","Retail-Wholesale","Retail - Apparel and Shoes","9.34","2"
"Academy Sports and Outdoors","ASO","2984.94","48.13","1132273","1.43","3.93","-4.79","32.89","-14.99","2.02","6.56","61.19","41.73","87","Consumer Discretionary","Leisure and Recreation Products","6.24","2"
"Acadia Healthcare","ACHC","2935.45","31.53","3016510","6.45",".8","22.16","82.95","96.07","5.04","4.14","35.61","11.68","193","Medical","Medical - Hospital","-33.44","3"
"Acadia Realty Trust","AKR","2835.92","20.65","1428200","-8.1","-3.01","-1.24","52.19","-11.29","14.2","12.14","22.72","18.39","78","Finance","REIT and Equity Trust - Retail","12.14","3"
"Acadian Asset Management Inc.","AAMI","3188.79","89.85","414955","3.88","10.03","30.56","95.86","68.69","11.49","24.38","91.92","41.93","152","Finance","Financial - Miscellaneous Services","15.17","1"
"Accelerant Holdings","ARX","2718.79","12.46","2239890","4.88","-1.42","-19.3","14.98","-32.75","51.49","26.6","30.05","9.36","87","Finance","Insurance - Brokerage","-135.47","2"
"Accenture","ACN","117347.73","175.72","7561889","5.91","29.94","4.09","31.25","-42.21","7.36","11.72","288.54","124.44","101","Computer and Technology","Computers - IT Services","10.66","3"
"Aclaris Therapeutics","ACRS","826.36","5.91","2136414","13.65","5.91","30.75","90.64","73.26","-58.19","-921.5","6.36","1.55","100","Medical","Medical - Drugs","-921.5","2"
"Acuren Corporation","TIC","2195.3","10.06","2277771","37.62","33.6","12.28","44.28","-12.19","39.45","-.91","14.49","6.54","160","Business Services","Technology Services","-5.64","3"
"Acushnet","GOLF","5448.61","93.29","329803","-7.88","-15.72","9.24","43.45","3.13","4.14","8.75","118.53","73.9","87","Consumer Discretionary","Leisure and Recreation Products","8.12","3"
"Adamas Trust, Inc.","ADAM","882.62","9.82","869129","8.27","6.86","12.61","100","18.7","50.01","73.83","9.82","6.57","181","Finance","REIT and Equity Trust","29.82","1"
"AdaptHealth","AHCO","773.35","5.69","3114177","-47.32","-44.33","-46.62","0","-49.59","-.49","2.16","13.38","5.69","157","Medical","Medical - Products","-7.07","3"
"Adaptive Biotechnologies","ADPT","3978.72","24.93","2789333","10.46","18.38","94.31","100","35.46","54.77","-24.02","24.93","11.69","150","Medical","Medical - Biomedical and Genetics","-20.73","3"
"Adecoagro","AGRO","1347.35","9.45","685872","-5.22","-8.34","-27.92","28.57","5.16","-6","-2.59","15.25","7.13","87","Consumer Staples","Agriculture - Operations",".95","3"
"Adient","ADNT","1522.79","19.42","948916","-7.7","-2.71","-6.81","17.44","-10.61","-1.04",".98","27.09","17.8","172","Auto-Tires-Trucks","Automotive - Original Equipment",".32","3"
