Ticker,Theme
NVTS,Semiconductors
SKYT,Semiconductors
SYNA,Semiconductors
VSH,Semiconductors
AAON,AI Power Infrastructure
ASTS,Space Infrastructure
CORZ,Digital Assets Infrastructure
INOD,AI Infrastructure
NBIS,AI Infrastructure
NTAP,Data Infrastructure
PL,Space Infrastructure
POWL,Electrical Infrastructure
ATI,Aerospace & Defense
BWA,Autonomous Mobility
FCX,Copper Mining
FSLR,Solar Infrastructure
KGS,Integrated Energy
NVT,Electrical Infrastructure
STRL,Infrastructure
VIST,Integrated Energy
ALC,Medical Devices
COCO,Consumer Staples
ENSG,Healthcare Services
NTRA,Diagnostics
VIRT,Financial Services
ABX,Financial Services
LINC,Education
UTI,Education
GE,Aerospace & Defense
PLTR,AI Platform
MRX,Financial Services
VCTR,Asset Management
VG,LNG / Natural Gas Export Infrastructure
FA,Software
LQDA,Pharmaceuticals
DAVE,Digital Banking
PAYC,Software
QLYS,Cybersecurity
APPS,Mobile Adtech
CBZ,Professional Services
PGEN,Biotechnology
MGNI,Digital Advertising
BLZE,Software
FTK,Oilfield Chemicals & Data Analytics
GCT,E Commerce Infrastructure
CDNA,Diagnostics
ZETA,Digital Advertising
RNG,Communications Cloud
ETON,Pharmaceuticals
PRGS,Software
ADPT,Diagnostics
EFOR,IT Services
AMPL,Software
HNGE,Digital Health
AGEN,Biotechnology
BLFS,Life Sciences Tools
CRCT,Connected Consumer Devices
SEZL,Digital Payments
BFLY,Medical Devices
TWST,Life Sciences Tools
COMP,Real Estate Technology
ECPG,Specialty Finance / Debt Collection
CORT,Pharmaceuticals
MANH,Software
FSLY,Cloud Infrastructure
PCTY,Software
AIR,Aerospace & Defense
DCO,Aerospace & Defense
NEO,Diagnostics
PAYS,Digital Payments
BB,Cybersecurity
NUE,Steel Manufacturing
KNSA,Biotechnology
U,Software
XNCR,Biotechnology
TXG,Life Sciences Tools
FIVN,Communications Cloud
PAY,Digital Payments
ITGR,Medical Devices
MOG.A,Aerospace & Defense
PRCH,Insurance Technology
SEPN,Biotechnology
GH,Diagnostics
BAX,Medical Devices
PENG,Software
CRS,Specialty Alloys / Aerospace Materials
GENI,Sports Betting Data & Technology
DT,Software
AMTB,Banking
AGL,Healthcare Services
URGN,Pharma
PSNL,Diagnostics
PBF,Refining & Marketing
SAFT,Batteries
GSHD,Insurance
OII,Oil Services
AVTR,Life Sciences Tools
CLMT,Refining & Marketing
MRVI,Life Sciences Tools
NRIX,Biotech
TVTX,Biotech
BVS,Medical Devices
PTGX,Biotech
NEOG,Food Safety
CNMD,Medical Devices
DK,Refining & Marketing
AMRX,Pharma
SKWD,Insurance
WHD,Oil Services
DXCM,Medical Devices
HAE,Medical Devices
VLO,Refining & Marketing
THC,Healthcare Services
IBRX,Biotech
WKC,Energy Logistics & Fuel Distribution
DGX,Diagnostics
TRV,Insurance
MPC,Refining & Marketing
ALL,Insurance
GKOS,Medical Devices
ILMN,Diagnostics
DINO,Refining & Marketing
PSX,Refining & Marketing
ATRC,Medical Devices
VIK,Leisure and Entertainment
VVX,Healthcare Services
HALO,Biotech
PARR,Refining & Marketing
IQV,Healthcare Services
THG,Healthcare Services
EQNR,Integrated Energy
PACS,Healthcare Services
PGNY,Healthcare Services
VCEL,Biotech
CON,Healthcare Services
HUM,Healthcare Services
CDW,IT Services
RYAN,Insurance
NP,Specialty Materials & Paper
OSCR,Healthcare Services
SUN,Energy Infrastructure
CNA,Insurance
TGTX,Biotech
AVAH,Healthcare Services
INCY,Biotech
BTSG,Healthcare Services
SM,Exploration
ESTA,Medical Devices
KRYS,Biotech
VCYT,Diagnostics
ENOV,Medical Devices
DVA,Healthcare Services
CARE,Banking
RSI,Leisure and Entertainment
RPD,Cybersecurity
MUFG,Banking
WYFI,AI Infrastructure
ATEN,Cybersecurity
CEVA,Semiconductor IP
VPG,Semiconductors
TXN,Semiconductors
AMBQ,Semiconductors
TOELY,Semiconductor Equipment
PD,Software
STM,Semiconductors
EAT,Restaurants
SVCO,Semiconductors
VICR,Semiconductors
