Ticker,Theme
CRDO,AI Infrastructure
NVDA,AI Accelerators
AMD,AI Compute
ARM,AI Compute
AVGO,AI Infrastructure
SMCI,AI Infrastructure
DELL,AI Servers
HPE,AI Servers
ANET,AI Networking
CSCO,AI Networking
EXTR,AI Networking
ALAB,AI Connectivity
APH,AI Connectivity
MPWR,AI Power Infrastructure
VRT,AI Power Infrastructure
ETN,AI Power Infrastructure
TTMI,Electronics Manufacturing
CLS,Electronics Manufacturing
AAOI,Optical Networking
MRVL,AI ASIC
LRCX,Semiconductor Equipment
AMAT,Semiconductor Equipment
KLAC,Semiconductor Equipment
MU,Memory
STX,Data Storage
WDC,Memory
GFS,Foundry
TSM,Foundry
UMC,Foundry
PDFS,Semiconductor Analytics
QCOM,Wireless Chips
ADI,Wireless Chips
MCHP,Semiconductors
ON,Semiconductors
NXPI,Semiconductors
LSCC,Semiconductors
ALGM,Semiconductors
SMTC,Semiconductors
FORM,Semiconductors
POWI,Semiconductors
RMBS,Semiconductors
AEHR,Semiconductor Equipment
UCTT,Semiconductor Equipment
AMKR,Semiconductor Equipment
ICHR,Semiconductor Equipment
TER,Semiconductor Testing
PANW,Cybersecurity
CRWD,Cybersecurity
ZS,Cybersecurity
FTNT,Cybersecurity
OKTA,Cybersecurity
S,Cybersecurity
CYBR,Cybersecurity
TENB,Cybersecurity
SNOW,Cloud Infrastructure
NET,Cloud Infrastructure
MDB,Data Infrastructure
DOCN,Cloud Infrastructure
DDOG,Cloud Infrastructure
NOW,Enterprise Cloud
CRM,Enterprise Cloud
HUBS,SaaS Platform
TWLO,Communications Cloud
ESTC,Data Infrastructure
GTLB,Developer Infrastructure
FROG,Developer Infrastructure
TEAM,Developer Infrastructure
APP,Mobile Adtech
TTD,Digital Advertising
RDDT,Social Media Platform
PINS,Social Media Platform
META,AI Platform
GOOG,AI Platform
SNAP,Social Media Platform
BE,Alternative Energy
FCEL,Fuel Cell Infrastructure
ENPH,Solar Infrastructure
SEDG,Solar Infrastructure
SMR,Nuclear Infrastructure
OKLO,Nuclear Infrastructure
RUN,Solar Infrastructure
ARRY,Solar Infrastructure
XOM,Integrated Energy
CVX,Integrated Energy
SHEL,Integrated Energy
BP,Integrated Energy
SLB,Oil Services
HAL,Oil Services
BKR,Oil Services
MUR,Exploration
OXY,Exploration
DVN,Exploration
OVV,Exploration
TSLA,Autonomous Driving AI
RKLB,Space Infrastructure
ACHR,Autonomous Mobility
JOBY,Autonomous Mobility
OUST,AI Sensors
KTOS,Defense Systems
AVAV,Defense Drone Systems
IRDM,Space Infrastructure
SATS,Space Infrastructure
COIN,Digital Assets Infrastructure
HOOD,Retail Trading Platform
SOFI,Digital Banking
NU,Digital Banking
PYPL,Digital Payments
SQ,Digital Payments
CELH,Consumer Momentum
ABNB,Travel Platform
UBER,Transportation Platform
DASH,Delivery Platform
SHOP,E Commerce Infrastructure
MELI,E Commerce Infrastructure
DUOL,Consumer Momentum
SPOT,Consumer Momentum
LITE,Optical Networking
CIEN,Optical Networking
SNDK,Memory
SIMO,Memory
COHR,Optical Networking
VIAV,Optical Networking
LWLG,Optical Networking
GLW,Optical Infrastructure
ONTO,Semiconductor Equipment
FLEX,Electronics Manufacturing
JBL,Electronics Manufacturing
AVT,Electronics Manufacturing
RIOT,Digital Assets Infrastructure
CIFR,Digital Assets Infrastructure
BTDR,Digital Assets Infrastructure
HUT,Digital Assets Infrastructure
MARA,Digital Assets Infrastructure
NKE,Footwear/Apparel
LULU,Footwear/Apparel
ONON,Footwear/Apparel
CROX,Footwear/Apparel
DECK,Footwear/Apparel
CAVA,Restaurants
CMG,Restaurants
WING,Restaurants
SBUX,Restaurants
COST,Discount Retail
WMT,Discount Retail
TJX,Discount Retail
KHC,Consumer Staples
KMB,Consumer Staples
STZ,Consumer Staples
BLDR,Building Materials
LEN,Homebuilders
KBH,Homebuilders
DHI,Homebuilders
PHM,Homebuilders
FIX,Infrastructure
PWR,Electrical Infrastructure
URI,Infrastructure
GEV,Electrical Infrastructure
PH,Industrial Automation
ROK,Industrial Automation
EMR,Industrial Automation
JCI,Industrial Automation
CHTR,Telecom Infrastructure
T,Telecom Infrastructure
VZ,Telecom Infrastructure
TMUS,Telecom Infrastructure
BAND,Communication Infrastructure
ATEX,Private Wireless Infrastructure
ACMR,Semiconductor Equipment
ASML,Semiconductor Equipment
ASX,Semiconductors
AXTI,Semiconductors
COHU,Semiconductor Testing
ENTG,Semiconductor Equipment
HIMX,Semiconductors
IFNNY,Semiconductors
INTC,AI Compute
KLIC,Semiconductor Equipment
MKSI,Semiconductor Equipment
MTSI,Semiconductors
MXL,Semiconductors
