Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Synaptics","SYNA","4146.6","107.32","797200","-5.03","-10.21","-14.44","54.8","32.52","11.98","14.96","147.57","58.52","40","Computer and Technology","Electronics - Semiconductors","-4.1","3"
"Synchrony Financial","SYF","24659.86","75.79","4200545","3.96","-.71","3.62","48.64","-16.97","-.19","18.93","88.47","63.78","173","Finance","Financial - Miscellaneous Services","15.44","3"
"Syndax Pharmaceuticals","SNDX","1688.02","19.05","1602822","-8.46","-12.7","-11.35","59.95","-17.13","627.84","-111.88","25.15","9.92","89","Medical","Medical - Biomedical and Genetics","-111.88","2"
"Synopsys","SNPS","74439.51","388.76","1975069","4.09","-11.07","-24.73","6.02","-24.36","15.12","28.28","645.35","372.33","84","Computer and Technology","Computer - Software","8.91","2"
"Sysco","SYY","40807.82","85.24","2904722","2.56",".48","17.67","72.92","5.72","3.2","2.63","91.16","69.3","211","Consumer Staples","Food - Miscellaneous","2.08","3"
"T. Rowe Price","TROW","23944.29","111.75","2109799","-4.08","-5.74","6.1","72.02","-.24","3.12","30.37","121.68","86.19","63","Finance","Financial - Investment Management","29.26","3"
"TAL Education Group","TAL","6924.86","12.5","4271047","21.36","27.42","12.71","89.65","4.72","33.72","29.8","12.91","8.95","92","Consumer Discretionary","Schools","28.43","3"
"TANGER INC","SKT","4670.85","40.66","881964","-3.03","2.86","11.8","88.48","11.37","10.55","21.91","42.11","29.52","67","Finance","REIT and Equity Trust - Retail","20.76","2"
"TC Energy","TRP","70257.95","67.43","2519601","-4.48","1.44","4.14","85.43","12.03","8.51","24.73","70.91","47.02","146","Oils-Energy","Alternative Energy - Other","22.91","3"
"TD SYNNEX CORP","SNX","20445.45","255.7","820655","5.26","4.52","6.96","76.93","55.57","6.94","1.98","290.14","140.85","88","Computer and Technology","Computers - IT Services","1.63","1"
"TDK","TTDKY","38021.9","19.56","404619","6.89","-11.94","2.73","53.75","26.79","14.93","7.87","25.91","12.18","56","Computer and Technology","Electronics - Miscellaneous Components","7.87","3"
"TE Connectivity","TEL","59549.97","205.69","2755276","1.36","4.18","-.25","18.53","-17.37","8.94","16.56","249","195.84","56","Computer and Technology","Electronics - Miscellaneous Components","15.61","2"
"TEEKAY TANK LTD","TNK","2742.05","79.37","317794","4.7","17.41","-4.41","91","35.8","-22.58","54.51","83.03","42.35","40","Transportation","Transportation - Shipping","51.35","3"
"TELUS","TU","15047.44","9.56","7923995","-6.46","-6.18","-25.02","0","-33.65","-1.14","6.36","16.6","9.56","236","Utilities","Diversified Communication Services","-4.51","3"
"TFI International","TFII","11097.7","135.02","409150","-10.24","-2.96","-2.95","65.71","19.41","-6.1","4.9","163.36","80.71","92","Transportation","Transportation - Services","4.14","1"
"TFS Financial","TFSL","5162.75","18.41","849711","1.21","3.2","21.92","98.81","25.76","4.37","29.69","18.48","12.61","78","Finance","Financial - Savings and Loan","12.36","3"
"TG Therapeutics","TGTX","7964.94","52.03","2057957","-7.16","-2.4","21.4","78.48","59.53","87.32","66.99","59.06","26.39","89","Medical","Medical - Biomedical and Genetics","65.95","3"
"TIM","TIMB","9281.36","19.17","558345","-10","-11.7","-19.42","11.66","-9.92","1.02","16.06","27.96","18.01","78","Computer and Technology","Wireless Non-US ","15.73","3"
"TKO Group Holdings, Inc.","TKO","35293.86","181.81","1035581",".66","-6.49","-2.67","37.78","-20.49","68.85","4.61","224.96","155.61","162","Consumer Discretionary","Film and Television Production and Distribution","4.47","3"
"TMobile US","TMUS","185261.13","172.71","5055101","-4.1","-2.71","-10.8","5.46","-22.25","8.49","12.68","259.01","167.73","92","Computer and Technology","Wireless National","11.45","3"
"TPG Inc.","TPG","16779.08","43.66","1783029","1.94","5.38","-2.15","18.06","-37.49","33.43","48.78","69.66","37.93","63","Finance","Financial - Investment Management","3.81","4"
"TPG RE Finance Trust","TRTX","611.85","7.97","731023","-7.54","-5.12","-7","17.06","-15.4","-5.51","57.46","9.72","7.61","81","Finance","Real Estate - Operations","17.03","2"
"TSS","TSSI","278.49","9.92","680372","2.27","-11.51","-17.47","13.43","28.24","66.03","7.14","29.26","6.92","77","Construction","Engineering - R and D Services","7.14","3"
"TTM Technologies","TTMI","11988.45","115.44","2638831","-12.15","-25.99","-26.62","41.55","52.91","18.98","9.23","221.47","40.06","56","Computer and Technology","Electronics - Miscellaneous Components","6.29","4"
"TXNM Energy, Inc.","TXNM","6412.16","57.92","951434","-.82","1.72","-1.81","49.35","-10.09","9.86","12.73","59.48","56.4","146","Oils-Energy","Alternative Energy - Other","9.04","3"
"Taboola.com","TBLA","1218.86","5.01","2434021","3.94","-2.53","-4.57","78.33","-.67","8.26","7.27","5.58","2.95","88","Computer and Technology","Computers - IT Services","5.64","3"
"Taiwan Semiconductor","TSM","2096644.63","404.25","15084200",".21","-6.89","-1.8","70.7","21.58","35.9","50.31","477.57","227.33","1","Computer and Technology","Semiconductor - Circuit Foundry","50.31","1"
"TakeTwo Interactive Software","TTWO","45421.29","242.92","1786834","4.87","-4.73","10.19","73.32","-13.28","18.16","11.3","262.29","189.69","188","Consumer Discretionary","Gaming","-4.48","2"
"Talen Energy Corporation","TLN","16001.61","334.1","657440","-7.17","-8.38","-13.53","21.79","-18.54","22.03","15.28","445.84","302.97","146","Oils-Energy","Alternative Energy - Other","-.63","3"
"Talkspace","TALK","874.42","5.22","1596432",".19",".38",".58","99.33","31.43","22",".49","5.24","2.27","81","Medical","Medical Info Systems",".49","3"
"Talos Energy","TALO","2533.93","15.18","1924275","1.67","11.7","1.27","83.98","25.9","-9.8","-9.72","16.59","7.79","215","Oils-Energy","Oil and Gas - Exploration and Production - United States","-42.58","3"
"Tandem Diabetes Care","TNDM","1336.32","19.5","1653806","13.9","27.28","25.97","51.72","-18.91","7.93","-7.26","28.26","10.11","153","Medical","Medical - Instruments","-9.2","4"
"Tapestry","TPR","30785.55","152.37","2184012","6.85","5.66","14.15","87.47","9","5.09","18.22","160.49","95.69","57","Retail-Wholesale","Retail - Apparel and Shoes","8.44","3"
"Targa Resources","TRGP","58033.27","270.37","1105112","-3.9","4.44","8.97","89.08","33.94","3.95","12.87","285.58","146.3","20","Oils-Energy","Oil and Gas - Refining and Marketing - Master Limited Partnerships","12.87","3"
"Target","TGT","65626.08","144.49","3744752","5.64","10.97","15.36","97.73","35.1","-1.68","3.42","145.9","83.68","30","Retail-Wholesale","Retail - Discount Stores","3.24","2"
"Target Hospitality","TH","1522.49","15.2","976511","-5.88","-17.7","-.85","62.8","73.44","-16.99","-13.47","20.52","6.22","144","Consumer Discretionary","Leisure and Recreation Services","-13.47","2"
"Tarsus Pharmaceuticals","TARS","2540.14","59.04","1239794",".65","-9.78","-3.55","46.28","-34.1","146.71","-9.02","82.51","38.82","89","Medical","Medical - Biomedical and Genetics","-9.02","4"
"TaskUs","TASK","555.88","6.07","833967","9.96","20.68","-5.82","11","-52.94","18.95","12.25","18.21","4.57","88","Computer and Technology","Computers - IT Services","8.7","2"
"TechnipFMC","FTI","28570.98","71.66","3482862","-6.63","7.36","2.15","87.38","46.98","9.35","11.77","76.99","34.76","193","Oils-Energy","Oil and Gas - Field Services","11.28","3"
"Teck Resources","TECK","29094.33","60.24","3698713",".08",".38","-7.14","73.73","14.97","18.81","20.35","70.56","31.27","200","Basic Materials","Mining - Miscellaneous","17.85","2"
"Teladoc Health","TDOC","1219.1","6.71","5608469","-23.49","-27.07","-7.45","42.67","-12.39","-1.54","-6.62","9.72","4.47","73","Medical","Medical Services","-7.13","2"
