Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","5813.32","45.79","3119153","21.04","44.22","99.35","100","154.77","5.25","-3.55","45.79","11.34","81","Medical","Medical Info Systems","-3.55","4"
"3M","MMM","81667","156.58","3032193","-.91","-3.12","5.46","46.03","-11.25","1.52","18.26","174.61","141.2","195","Conglomerates","Diversified Operations","11.14","2"
"4D Molecular Therapeutics","FDMT","611.63","11.7","1048164","-8.74","34.95","19.88","82.5","41.56","230194.59","-182.34","13.3","4.16","105","Medical","Medical - Drugs","-182.34","4"
"908 Devices","MASS","308.56","8.16","314868","1.12","-5.56","12.4","75.62","41.04","-5.76","-34.17","9.15","5.09","181","Medical","Medical - Instruments","-62.4","3"
"A. O. Smith","AOS","8389.63","60.87","1719501","-.72","1.05","-6.34","20.62","-17.41",".32","13.84","80.47","55.78","165","Industrial Products","Manufacturing - Electronics","13.84","4"
"A10 Networks","ATEN","2710.01","37.64","1231241","3.07","16.07","35.83","97.82","93.08","11.03","23.04","38.11","16.55","92","Computer and Technology","Internet - Software","14.9","3"
"AAON","AAON","9250.29","112.93","850747","2.72","-13.57","17.95","53.63","34.4","20.11","7.45","148.25","72.07","46","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"AAR","AIR","5346.7","134.46","476013","-1.59","3.46","15.38","87.27","47.38","19.91","5.6","143.61","71.73","94","Aerospace","Aerospace - Defense Equipment","5.46","3"
"ABB","ABBNY","189535.13","103.96","488709",".97","-1.4","10.76","88.53","27.54","1.13","13.87","109.73","59.45","165","Industrial Products","Manufacturing - Electronics","13.86","3"
"ABCELLERA BIOLG","ABCL","2058.23","6.74","7511996","-12.35","32.42","68.92","74.16","78.84","160.56","-181.75","8.12","2.78","105","Medical","Medical - Biomedical and Genetics","-181.75","3"
"ABM Industries","ABM","2653.72","45.3","554426",".29","3","12.52","64.47","-2.82","4.62","2.32","49.66","37.39","222","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","4364.8","25.49","1776498","-2.71","21.73","16.93","67.88","-13.4","11.87","9.24","28.06","20.06","105","Medical","Medical - Biomedical and Genetics","34.3","3"
"ACI Worldwide","ACIW","5602.57","55.11","1050923","-.92","21.12","24.63","92.65","4.6","10.38","17.1","56.43","38.47","89","Computer and Technology","Computer - Software","11.51","2"
"ACM Research","ACMR","6055.64","98.895","1645280","4.47","8.46","93.12","72.81","127.49","15.24","10.75","126.89","23.92","107","Computer and Technology","Semiconductor Equipment - Material Services","9.48","3"
"ACV Auctions","ACVA","1262.25","7.23","2959611","-.82","15.31","48.46","25.29","-18.19","19.22","3.8","16.33","4.15","235","Business Services","Auction and Valuation Services","-7.97","3"
"ADEIA INC","ADEA","3081.61","27.94","1635756","-1.59","-12.14","-5.99","74.01","46.98","17.91","43.5","33.63","11.74","101","Business Services","Technology Services","26.5","3"
"ADMA Biologics","ADMA","2055.82","8.87","3160271","-3.69","3.38","-17.72","9.94","-55.87","19.63","33.27","20.38","7.6","105","Medical","Medical - Biomedical and Genetics","32.43","3"
"ADT","ADT","4934.75","6.73","8127973","-2.6",".15","-6.27","16.86","-24.32","4.72","14.71","8.85","6.3","176","Industrial Products","Security and Safety Services","12.12","3"
"ADTRAN Holdings, Inc.","ADTN","1020.58","12.6","1709147",".48","-14.81","-28","44.03","31.58","17.46","2.19","19.4","7.25","40","Computer and Technology","Communication - Components","-3.18","3"
"AECOM","ACM","8810.25","68.55","1732961","1.35","-3.55","-19.32","2.5","-34.75",".21","9.55","134.35","66.86","107","Construction","Engineering - R and D Services","3.16","4"
"AES","AES","10554.73","14.8","8156128","1.23","1.09","2.49","48.01","-6.34","-.37","15.68","17.28","12.51","159","Utilities","Utility - Electric Power","10.78","3"
"AGCO","AGCO","8264.71","114.14","652981",".34",".82","-4.36","34.7","-.71","-13.55","4.15","140.49","100.14","29","Industrial Products","Manufacturing - Farm Equipment","7.43","3"
"AGNC Investment","AGNC","12833.85","11.18","14910533",".54","5.87","2.47","66.67","-5.36","19.46","212.81","12.17","9.2","205","Finance","REIT and Equity Trust","39.5","3"
"AH Realty Trust Inc","AHRT","713.04","7.08","790918","-.28","5.04","17.41","80.08","-2.95","-59.74","2.31","7.56","5.15","59","Finance","REIT and Equity Trust - Other","-6.87","3"
"AIRO Group Holdings, Inc.","AIRO","216.03","6.87","441461",".15","-13.04","-18.21","4.44","-23.79","4.57","-19.98","28.8","5.85","101","Aerospace","Aerospace - Defense","-19.98","3"
"AMC Global Media Inc.","AMCX","431.37","9.82","447280","-1.7","2.61","14.45","85.34","-6.39","-4.52","3.87","10.54","5.63","73","Consumer Discretionary","Media Conglomerates","2.28","3"
"AMETEK","AME","53624.34","233.96","1025663",".98",".89",".18","87.82","3.41","6.63","23.23","241.94","176.44","22","Computer and Technology","Electronics - Testing Equipment","20.11","2"
"AMN Healthcare Services","AMN","1260.55","32.5","937497","-2.26","1.94","56.03","84.18","87.14","-8.49","3.43","35.77","15.1","222","Business Services","Business - Services","-.95","3"
"ANI Pharmaceuticals","ANIP","1832.15","80.55","306323","-6.33","-2.95",".76","48.51","-7.4","43.78","18.58","98.81","63.35","105","Medical","Medical - Biomedical and Genetics","9.98","3"
"APA","APA","12202.92","34.53","5377142","1.56",".79","-8.16","62.55","28.1","-5.31","16.52","44.39","18.06","214","Oils-Energy","Oil and Gas - Exploration and Production - United States","17.38","4"
"APTIV PLC","APTV","12286.69","58.06","2590593","-1.34","-11.6","-4.51","15.21","-30.76","3.47","8.23","88.67","52.57","101","Business Services","Technology Services","1.77","4"
"APi Group","APG","17983.29","41.51","2774543",".51","-2.33","-14.41","49.94","-1.55","12.72","15.35","49.4","33.64","222","Business Services","Business - Services","3.85","3"
"ARKO","ARKO","858.22","7.65","867370","-2.55","-4.02","16.44","79.46","52.91","-12.47",".38","8.64","3.82","198","Consumer Staples","Consumer Products - Staples",".38","3"
"ARM Holdings PLC Sponsored ADR","ARM","300311.72","281.17","8040869","-6.41","-29.06","60.22","52.74","133.42","22.79","38.56","439.46","104.55","43","Computer and Technology","Electronics - Semiconductors","18.37","3"
"ARMOUR Residential REIT","ARR","2122.43","17.11","3885747",".77",".41","-1.95","60.35","-12.23","45.28","167.45","19.12","14.05","205","Finance","REIT and Equity Trust","27.43","3"
"ARS Pharmaceuticals, Inc.","SPRY","755.7","7.61","1908976","-7.08","-21.55","-2.93","7.57","-40.72","-5.46","-200","18.35","6.73","105","Medical","Medical - Drugs","-200","3"
"ASE Technology","ASX","89741.06","40.36","11397543","1.79","9.55","36.35","86.64","127.49","11.82","7.03","45.12","9.5","43","Computer and Technology","Electronics - Semiconductors","7.03","1"
"ASHLAND INC","ASH","3055.88","66.74","933148","1.54","3.38","16.35","94.22","3.23","-13.68","8.39","67.92","47.49","81","Basic Materials","Chemical - Specialty","-39.03","4"
"ASML Holding","ASML","698330.31","1775.64","1885642","1.62","-1.57","21.7","83.55","50.61","20.81","27.65","1989.44","689.63","107","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","27.65","4"
"AST SpaceMobile","ASTS","26710.73","68.82","17249002","-7.26","-16.33","-13.99","33.18","-14.01","1505.21","-573.67","133.09","36.91","107","Computer and Technology","Wireless Equipment","-573.67","3"
"AT&T","T","147860.66","21.28","71273728",".9","-8.12","-17.77","8.75","-22.26","2.71","12.34","29.62","20.48","213","Computer and Technology","Wireless National","16.94","3"
"ATI INC","ATI","25852.96","189.44","1550785","3.37","-3.5","19.18","88.96","49.8","5.16","10.77","204.09","71.34","94","Aerospace","Aerospace - Defense Equipment","9.26","2"
