Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Agilent Technologies","A","39467.04","139.74","2245050","2.67","3.12","20.93","62.82","-5.1","6.73","22.83","157.2","110.24","166","Medical","Medical - Products","19.55","3"
"Alcoa","AA","11946.29","45.27","6529975","-3.37","-14.71","-29.03","30.46","-21.28","7.87","9.29","83.79","28.4","239","Industrial Products","Metal Products - Distribution","9.48","5"
"American Airlines","AAL","8965.08","13.555","136977696","-13.11","-22.85","15.76","42.35","-18.3",".78","-.3","18.15","10.18","84","Transportation","Transportation - Airline","-.56","1"
"Acadian Asset Management Inc.","AAMI","2858.51","80.23","438449","-3.65","14.99","19.12","91.63","57.73","11.49","22.65","83.95","39.51","182","Finance","Financial - Miscellaneous Services","13.78","1"
"Applied Optoelectronics","AAOI","8988.79","112.02","8823370","11.75","-19.14","-31.85","45.44","196.93","82.75","-3.91","223.1","19.49","57","Computer and Technology","Electronics - Semiconductors","-8.55","3"
"AAON","AAON","8820.25","107.68","979482","-4.88","-19.2","15.4","46.74","30.49","20.11","7.45","148.25","72.07","46","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"Advance Auto Parts","AAP","3225.75","53.42","1777871",".55","-9.76","-10.23","52.87","25.6","-5.42","2.28","66.5","38.75","46","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".51","2"
"Apple","AAPL","4724335","321.66","58993064","-3.48","16.9","18.54","90.8","9.33","6.43","27.15","333.74","202.38","20","Computer and Technology","Computer - Micro Computers","27.15","3"
"American Assets Trust","AAT","1488.12","24.24","374080","-6.23","-1.34","16.88","80.1","18.32","-4.73","4.16","25.85","17.76","73","Finance","REIT and Equity Trust - Retail","4.16","2"
"Allied Gold Corporation","AAUC","2685.35","21.22","521537","1.24","-7.13","-29.03","47.19","-14.3","82.35","12.12","32.01","11.58","233","Basic Materials","Mining - Gold","-9.08","5"
"ABB","ABBNY","178286.27","97.79","448119","1.22","-8.54","-2.66","73.58","22.16","1.13","13.74","109.73","64.55","95","Industrial Products","Manufacturing - Electronics","13.86","3"
"AbbVie","ABBV","453924.44","256.92","8357548",".99","5.67","21.58","94.39","3.9","8.57","28.85","261.07","187.11","234","Medical","Large Cap Pharmaceuticals","5.79","3"
"Ameris Bancorp","ABCB","5999.8","89.16","494715","-4.3","-1.4","4.59","85.41","10.93","-.36","34.33","93.17","65.68","74","Finance","Banks - Southeast","21.98","4"
"ABCELLERA BIOLG","ABCL","1731.48","5.67","6693326","-7.95","-14.87","36.63","54.12","53.19","160.56","-181.75","8.12","2.78","91","Medical","Medical - Biomedical and Genetics","-181.75","3"
"ABM Industries","ABM","2773.22","47.34","503281","-1.72","5.6","16.03","81.09","3.41","4.62","2.32","49.66","37.39","201","Business Services","Business - Services","1.75","3"
"Airbnb","ABNB","82914.12","137.57","3321137","-6.92","-3.04","-1.99","69.62","-6.34","10.26","19.9","148.93","111.54","67","Consumer Discretionary","Leisure and Recreation Services","19.9","4"
"Arbor Realty Trust","ABR","965.65","5.02","3807818","-2.52","-1.95","-36.46","1.46","-40.22","-19.51","23.55","12.46","4.91","190","Finance","REIT and Equity Trust","12.73","4"
"Abbott Laboratories","ABT","175487.61","100.75","12592628","1.94","8.05","10.97","33.65","-25.7","5.67","19.79","136.62","82.56","166","Medical","Medical - Products","11.65","3"
"American Bitcoin Corp.","ABTC","432.51","6.1","1786509","11.72","-42.35","-64.62",".61","-77.89","801.52","-69.42","139.58","5.28","182","Finance","Financial - Miscellaneous Services","-69.42",""
"Abacus Global Management, Inc.","ABX","964.02","10.05","772471","-4.38","8.77","5.79","72.06","8.61","110.18","33.72","12","5.02","182","Finance","Financial - Miscellaneous Services","15.63","2"
"Arcosa","ACA","7124.37","145.11","854110",".08",".1","14.74","99.56","26.12","12.2","7.84","145.38","83.66","153","Construction","Building Products - Miscellaneous","7.88","2"
"ACADIA Pharmaceuticals","ACAD","4251.79","24.83","1726414","-3.12","4.68","10.6","59.63","-14.1","11.87","9.24","28.06","20.06","91","Medical","Medical - Biomedical and Genetics","34.3","2"
"Air Canada","ACDVF","4531.35","16.18","340479","-2.12","-6.09","18.36","71.35","6.56","-1.43","2.63","17.83","12.07","84","Transportation","Transportation - Airline","3.45","3"
"Accel Entertainment","ACEL","974.27","11.97","318605","-3.86","-8.9","-4.16","62.1","-3.06","8.12","5.42","13.41","9.61","190","Consumer Discretionary","Gaming","3.79","2"
"Arch Capital Group","ACGL","34973.9","100.1","1700830",".06","6.12","5.97","83.86","-3.57","14.27","21.73","103.06","84.72","151","Finance","Insurance - Property and Casualty","24.64","3"
"Acadia Healthcare","ACHC","3127.8","34.01","3364230","1.19","29.61","31.34","93.31","121.47","5.04","5.31","35.61","11.68","225","Medical","Medical - Hospital","-32.84","3"
