Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","5302.96","41.77","3075478","4.43","29.64","69.87","95.81","133.27","5.25","-3.55","43.1","11.34","100","Medical","Medical Info Systems","-3.55","4"
"3M","MMM","82251.16","157.7","3024755","-.91","-.33","4.16","49.39","-10.28","1.52","18.26","174.61","141.2","190","Conglomerates","Diversified Operations","11.14","2"
"4D Molecular Therapeutics","FDMT","590.72","11.3","1053920","-11.16","22.56","12.22","78.12","37.24","230194.59","-182.34","13.3","4.16","164","Medical","Medical - Drugs","-182.34","4"
"908 Devices","MASS","300.62","7.95","311214","-5.58","-7.77","8.9","70.44","37.93","-5.76","-34.17","9.15","5.09","177","Medical","Medical - Instruments","-62.4","3"
"A. O. Smith","AOS","8204.94","59.53","1715072","-4.68","-.82","-9.25","15.19","-18.92",".32","13.84","80.47","55.78","171","Industrial Products","Manufacturing - Electronics","13.84","4"
"A10 Networks","ATEN","2648.81","36.79","1211517",".96","12.51","35.16","93.88","89.43","11.03","23.04","38.11","16.55","97","Computer and Technology","Internet - Software","14.9","3"
"AAON","AAON","9189.67","112.19","847104","2.6","-14.53","14.6","52.66","34.02","20.11","7.45","148.25","72.07","39","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"AAR","AIR","5205.14","130.9","478960","-8.85","-.21","7.32","82.32","44.02","19.91","5.6","143.61","71.73","84","Aerospace","Aerospace - Defense Equipment","5.46","3"
"ABB","ABBNY","185250.72","101.61","454428","-5.61","-2.2","6.23","83.85","25.12","1.13","13.87","109.73","59.45","171","Industrial Products","Manufacturing - Electronics","13.86","3"
"ABCELLERA BIOLG","ABCL","1991.05","6.52","7481305","-17.15","23.95","66.75","70.04","73.65","160.56","-181.75","8.12","2.78","163","Medical","Medical - Biomedical and Genetics","-181.75","3"
"ABM Industries","ABM","2657.23","45.36","569229","2.16","3.09","12.44","64.96","-2.32","4.62","2.32","49.66","37.39","221","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","4366.52","25.5","1777560","-1.05","19.92","15.44","68","-13.04","11.87","9.24","28.06","20.06","163","Medical","Medical - Biomedical and Genetics","34.3","3"
"ACI Worldwide","ACIW","5736.76","56.43","1040898",".89","25.99","24.98","100","7.51","10.38","17.1","56.43","38.47","103","Computer and Technology","Computer - Software","11.51","2"
"ACM Research","ACMR","5760.81","94.08","1679831","-4.51","-1.19","89.33","68.14","117.22","15.24","10.75","126.89","23.92","107","Computer and Technology","Semiconductor Equipment - Material Services","9.48","3"
"ACV Auctions","ACVA","1188.92","6.81","2878511","-8.34","7.92","33.53","21.5","-22.66","19.22","3.8","16.52","4.15","234","Business Services","Auction and Valuation Services","-7.97","3"
"ADEIA INC","ADEA","3052.93","27.68","1659078","-5.63","-14.41","-6.23","72.82","46.16","17.91","43.5","33.63","11.74","105","Business Services","Technology Services","26.5","3"
"ADMA Biologics","ADMA","2079","8.97","3195163","-2.07","5.53","-17.56","10.72","-55.21","19.63","33.27","20.38","7.6","163","Medical","Medical - Biomedical and Genetics","32.43","3"
"ADT","ADT","4971.42","6.78","8245609",".44","1.19","-6.87","18.82","-23.47","4.72","14.71","8.85","6.3","190","Industrial Products","Security and Safety Services","12.12","3"
"ADTRAN Holdings, Inc.","ADTN","1006.81","12.43","1739751","-3.57","-17.85","-29.5","42.63","30.29","17.46","2.19","19.4","7.25","31","Computer and Technology","Communication - Components","-3.18","3"
"AECOM","ACM","8826.95","68.68","1734286","-1.34","-1.31","-20.55","2.7","-34.38",".21","9.55","134.35","66.86","167","Construction","Engineering - R and D Services","3.16","4"
"AES","AES","10526.21","14.76","8139366","1.3",".54","1.93","48.26","-6.25","-.37","15.68","17.28","12.41","168","Utilities","Utility - Electric Power","10.78","3"
"AGCO","AGCO","8260.37","114.08","650696","-3.58","1.37","-5.15","34.55","-.39","-13.55","4.15","140.49","100.14","32","Industrial Products","Manufacturing - Farm Equipment","7.43","3"
"AGNC Investment","AGNC","12615.74","10.99","14764317","-1.61","5.07","2.04","60.27","-6.62","19.46","212.81","12.17","9.2","204","Finance","REIT and Equity Trust","39.5","3"
"AH Realty Trust Inc","AHRT","711.03","7.06","807279",".28","3.98","14.98","79.25","-2.86","-59.74","2.31","7.56","5.15","58","Finance","REIT and Equity Trust - Other","-6.87","3"
"AMC Global Media Inc.","AMCX","437.96","9.97","451281","-1.68","3.1","15.13","88.39","-4.61","-4.52","3.87","10.54","5.63","78","Consumer Discretionary","Media Conglomerates","2.28","3"
"AMETEK","AME","53198.02","232.1","1040134","-2.13",".72","-1.99","84.98","2.97","6.63","23.23","241.94","176.44","21","Computer and Technology","Electronics - Testing Equipment","20.11","2"
"AMN Healthcare Services","AMN","1317.95","33.98","936840","-5","10.04","66.08","91.34","96.39","-8.49","3.43","35.77","15.1","221","Business Services","Business - Services","-.95","3"
"ANI Pharmaceuticals","ANIP","1844.2","81.08","309729","-4.67","-1.47","-.8","50","-6.44","43.78","18.58","98.81","63.35","163","Medical","Medical - Biomedical and Genetics","9.98","3"
"APA","APA","12252.39","34.67","5419136","6.81","-.29","-3.6","63.08","29.11","-5.31","16.52","44.39","18.06","205","Oils-Energy","Oil and Gas - Exploration and Production - United States","17.38","3"
"APTIV PLC","APTV","12534.28","59.23","2620801","-.84","-11.09","-2.63","18.45","-29.1","3.47","8.23","88.67","52.57","105","Business Services","Technology Services","1.77","4"
"APi Group","APG","17935.64","41.4","2868684","-3.34","-.62","-15.03","49.24","-1.44","12.72","15.35","49.4","33.64","221","Business Services","Business - Services","3.85","3"
"ARKO","ARKO","908.7","8.1","868051","1.89","-1.22","16.05","88.8","62.51","-12.47",".38","8.64","3.82","194","Consumer Staples","Consumer Products - Staples",".38","3"
"ARM Holdings PLC Sponsored ADR","ARM","319344.84","298.99","8236749","-7.22","-27.53","70.75","58.06","149.15","22.79","38.56","439.46","104.55","43","Computer and Technology","Electronics - Semiconductors","18.37","3"
"ARMOUR Residential REIT","ARR","2092.66","16.87","3735743","-1.8","-1","-3.27","55.62","-13.14","45.28","167.45","19.12","14.05","204","Finance","REIT and Equity Trust","27.43","3"
"ARS Pharmaceuticals, Inc.","SPRY","768.61","7.74","1857309","-7.08","-21.1","-5.38","8.69","-39.48","-5.46","-200","18.35","6.73","164","Medical","Medical - Drugs","-200","3"
"ASE Technology","ASX","90185.77","40.56","11624419","-6.37","5.35","38.53","87.2","129.47","11.82","7.03","45.12","9.5","43","Computer and Technology","Electronics - Semiconductors","7.03","1"
"ASHLAND INC","ASH","3018.33","65.92","941307","-1.17",".73","13.71","90.21","2.34","-13.68","8.39","67.92","47.49","80","Basic Materials","Chemical - Specialty","-39.03","4"
"ASML Holding","ASML","678823.44","1726.04","1849063","-5.43","-8.8","16.9","79.74","46.95","20.81","27.65","1989.44","689.63","107","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","27.65","4"
"AST SpaceMobile","ASTS","26229.46","67.58","17782972","-16.2","-22.83","-16.57","31.89","-15.25","1505.21","-573.67","133.09","36.91","175","Computer and Technology","Wireless Equipment","-573.67","3"
"AT&T","T","149736.7","21.55","70976384","4.71","-7.47","-17.69","11.71","-20.98","2.71","12.34","29.62","20.48","214","Computer and Technology","Wireless National","16.94","3"
"ATI INC","ATI","25076.44","183.75","1543414","-4.33","-6.16","12","84.68","45.85","5.16","10.77","204.09","71.34","84","Aerospace","Aerospace - Defense Equipment","9.26","2"
"AXT","AXTI","3301.25","50.46","8952747","-20.56","-54.43","-35.93","34.94","181.12","-11.11","-10.85","140.83","1.92","43","Computer and Technology","Electronics - Semiconductors","-14.69","3"
"AZZ","AZZ","4402.25","146.49","348025","-3.97","-3.6","6.55","78.12","24.5","4.58","11.28","160.17","97.64","171","Industrial Products","Manufacturing - Electronics","11.83","3"
"Abacus Global Management, Inc.","ABX","1055.15","11","690444","-8.33","13.99","14.11","86.05","17.19","110.18","33.72","12","4.83","171","Finance","Financial - Miscellaneous Services","15.63","2"
"AbbVie","ABBV","438164.63","248","8972298","-2.65","11.92","21.74","82.85","-1.14","8.57","28.85","261.07","184.85","229","Medical","Large Cap Pharmaceuticals","5.79","4"
"Abbott Laboratories","ABT","160438.34","92.11","12267935","-3.68","3.88","-4.05","17.67","-33.04","5.67","20.26","136.62","82.56","201","Medical","Medical - Products","13.9","3"
"Abercrombie & Fitch","ANF","4069.5","91.59","1104405","2.03",".54","-5.85","40.44","-33.72","6.42","8.8","129.85","65.61","76","Retail-Wholesale","Retail - Apparel and Shoes","9.34","3"
"Academy Sports and Outdoors","ASO","2883.23","46.49","1587023","-.83","-5.6","-19.87","24.46","-15.24","2.02","6.56","61.19","41.73","63","Consumer Discretionary","Leisure and Recreation Products","6.24","3"
"Acadia Healthcare","ACHC","2810.51","30.56","3310631","-1.7","22.29","9.77","93.28","96.17","5.04","5.31","31.92","11.68","59","Medical","Medical - Hospital","-32.84","3"
"Acadia Realty Trust","AKR","2849.26","21.34","1586777",".14","-1.75","-.28","71.93","-5.37","14.2","9.77","22.53","18.29","103","Finance","REIT and Equity Trust - Retail","9.77","3"
"Acadian Asset Management Inc.","AAMI","2807.92","78.81","614928","-.43","-2.18","18.16","91.11","52.74","11.49","22.65","82.72","38.75","171","Finance","Financial - Miscellaneous Services","13.78","1"
"Accel Entertainment","ACEL","1035.32","12.72","309065","2.75","-3.12","7.71","81.84","1.54","8.12","5.42","13.41","9.61","182","Consumer Discretionary","Gaming","3.79","3"
"Accelerant Holdings","ARX","2910.81","13.34","2228442",".68","2.62","-10.23","19.24","-25.68","51.49","26.6","30.05","9.36","107","Finance","Insurance - Brokerage","-135.47","2"
"Accenture","ACN","92505.16","138.52","12662226","1.14","-16.23","-28.99","8.58","-52.97","7.36","11.72","288.54","124.44","91","Computer and Technology","Computers - IT Services","10.66","4"
"Aclaris Therapeutics","ACRS","768.15","5.5","1982706",".18","26.15","29.41","94.99","66.44","-58.19","-832.58","5.71","1.52","164","Medical","Medical - Drugs","-832.58","3"
"Acuity, Inc.","AYI","9739.83","325.36","491872","-8.15","7.55","9.73","56.83","-17.69","13.14","13.16","376.69","257.79","105","Business Services","Technology Services","10.25","3"
"Acuren Corporation","TIC","1573.82","7.12","1642525","-12.96","-16.73","-19.73","6.94","-35.85","39.45","-2.82","14.49","6.57","105","Business Services","Technology Services","-5.77","3"
"Acushnet","GOLF","6390.59","109.14","378426","-6.89","12.23","11.24","78.96","24.55","4.14","7.19","118.53","73.9","63","Consumer Discretionary","Leisure and Recreation Products","6.54","2"
"Adamas Trust, Inc.","ADAM","814.14","9.06","930289","-1.2","-2.37","13.96","85.85","13.05","50.01","75.85","9.51","6.33","204","Finance","REIT and Equity Trust","24.14","3"
"AdaptHealth","AHCO","1398.56","10.29","1531102",".19","3.31","-18.79","34.26","-5.9","-.49","1.9","13.38","8.68","201","Medical","Medical - Products","-2.42","3"
"Adaptive Biotechnologies","ADPT","3364.13","21.02","3631182","-2.23","20.39","44.17","88.87","17.9","54.77","-28.24","22.37","10.24","163","Medical","Medical - Biomedical and Genetics","-16.82","3"
"Adecoagro","AGRO","1479.95","10.38","808828","9.49","-4.77","-18.4","40.03","19.23","-6","-2.59","15.25","7.13","72","Consumer Staples","Agriculture - Operations",".95","3"
"Adient","ADNT","1505.54","19.2","1028385","-1.08","-15.94","-14.02","15.07","-8.77","-1.04","1","27.09","17.8","164","Auto-Tires-Trucks","Automotive - Original Equipment",".39","3"
"Adobe","ADBE","91667.48","230.61","6497428","5.75","11.75","-7.25","20.73","-39.98","10.53","37.44","372.87","193.41","103","Computer and Technology","Computer - Software","28.69","3"
"Advance Auto Parts","AAP","3335.19","55.31","1596959","-1.81","-9.39","-3.42","59.68","28.19","-5.42","2.28","66.5","38.75","73","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".51","3"
"Advanced Drainage Systems","WMS","11314.39","147.62","810294","-2.46","7.92","-5.17","56.96","-7.16","5.03","16.09","175.38","110.89","182","Construction","Building Products - Miscellaneous","13.98","5"
"Advanced Energy Industries","AEIS","11352.91","298.52","943201","-3.96","-19.46","-21.49","64.33","29.87","21.37","14.77","389.05","135.25","107","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","10","2"
"Advanced Micro Devices","AMD","871376.69","534.39","26687442","-3.2","-2.35","94.36","89.35","127.29","34.34","20.1","580.91","144.16","6","Computer and Technology","Computer - Integrated Systems","13.37","2"
"Aehr Test Systems","AEHR","2139.45","68.02","1544868","-5.95","-41.3","-24.55","52.73","206.87","-10.95","-6.39","116.58","13.86","19","Computer and Technology","Electronics - Measuring Instruments","-25.23","3"
"Aeluma, Inc.","ALMU","296.91","16.22","549614","-14.23","-34.94","-2.7","26.44","-13.95","407.62","-39.4","31.49","10.73","43","Computer and Technology","Electronics - Semiconductors","-115.57",""
"AerSale","ASLE","284.93","6.03","470743","-7.66","-4.13","-12.99","10.27","-22.75","-2.83","5.45","9","5.69","84","Aerospace","Aerospace - Defense Equipment","3.06","3"
"Aercap","AER","24887.97","149.14","1074256","-2.81","5.41","1.84","88.04","-5.5","6.5","33.58","154.83","107.25","82","Transportation","Transportation - Equipment and Leasing","45.22","2"
"AeroVironment","AVAV","7176.22","141.8","2275313","-19.82","-17.53","-28.1","1.87","-46.6","140.89","8.18","409.83","136.68","84","Aerospace","Aerospace - Defense Equipment","-9","3"
"Aeva Technologies","AEVA","1185.8","18.81","2028079","-22.27","-30","19.13","41.75","29.02","99.44","-482.33","32.23","9.19","164","Auto-Tires-Trucks","Automotive - Original Equipment","-693.94","3"
"Affirm","AFRM","27438.24","81.93","3925178","-4.49","13.95","22.17","79.36",".27","39.66","9.63","92.18","42.53","97","Computer and Technology","Internet - Software","9.63","3"
"Aflac","AFL","62757.84","123.3","2282343","2.35","5.42","7.53","100","1.85","-9.31","21.77","123.3","98.09","107","Finance","Insurance - Accident and Health","25.6","4"
"Agenus","AGEN","254.85","6.12","9538922","79.47","88.31","38.46","78.09","77.53","10.37","71.76","7.06","2.77","163","Medical","Medical - Biomedical and Genetics","50.49","3"
"Agilent Technologies","A","37857.18","134.04","2144279","2.63","2.64","10.81","50.68","-10.27","6.73","22.83","157.2","110.24","201","Medical","Medical - Products","19.55","3"
"Agilysys","AGYS","3091.29","109.75","351692","-1.13","25.44","61.52","60.26","-15.88","15.85","15.9","141.12","62.19","6","Computer and Technology","Computer - Integrated Systems","12.15","1"
"Agios Pharmaceuticals","AGIO","2411.57","40.55","1131695","8.45","27.44","49.8","78.66","35.69","48.03","-639.84","45.49","22.34","163","Medical","Medical - Biomedical and Genetics","-639.84","3"
"Agnico Eagle Mines","AEM","72840.08","143.51","2627913","-7.38","-16.47","-33.68","19.17","-22.89","43.71","37.8","252.19","117.73","223","Basic Materials","Mining - Gold","39.46","4"
"Agree Realty","ADC","9442.49","78.62","1026902","1.88","5.57","-1.18","71.79","-.58","16.42","30.76","81.92","70.22","103","Finance","REIT and Equity Trust - Retail","29.25","3"
"Air Canada","ACDVF","4674.19","16.69","353135","-5.65","5.23","20.74","80.21","8.36","-1.43","2.63","17.83","12.07","84","Transportation","Transportation - Airline","3.45","3"
"Air Products and Chemicals","APD","67240.66","301.96","1539527","-2.23","6.71","1.96","85.34","11.35","-.52","22.98","314.19","230.76","166","Basic Materials","Chemical - Diversified ","16.91","3"
"Airbnb","ABNB","88193.8","146.33","3440547","-.89","5.3","1.91","93.05","-1.79","10.26","19.9","148.93","111.54","171","Consumer Discretionary","Leisure and Recreation Services","19.9","3"
"Airbus SE - Unsponsored ADR","EADSY","174355.23","55.25","360441","-7.75","3.87","5.82","53.2","-13.11","10.85","6.92","64.09","45.2","84","Aerospace","Aerospace - Defense Equipment","6.92","3"
"Akamai Technologies","AKAM","18192.08","125.13","3722246","11","-6.76","28.18","60.26","30.63","5.44","24.13","161.14","70.53","94","Computer and Technology","Internet - Services","10.2","3"
"Alamos Gold","AGI","12080.48","28.86","4968209","-8.58","-23.33","-41.04","14.69","-31.86","34.29","36.63","55.33","24.3","223","Basic Materials","Mining - Gold","51.24","4"
"Alarm.com","ALRM","2583.82","52.24","588549","4.75","14.89","13","59.37","-6.73","7.59","14.46","59.16","42.13","190","Industrial Products","Security and Safety Services","12.36","2"
"Alaska Air Group","ALK","5214.88","46.8","2915479","-7.16","-4.65","7.49","42.5","-15.25","21.34","1.36","63.86","34.19","84","Transportation","Transportation - Airline",".51","3"
"Albemarle","ALB","14835","125.79","2198998","-5.99","-25.52","-35.44","39.44","-18.99","-4.37","7.53","215.62","67.3","166","Basic Materials","Chemical - Diversified ","-5","2"
"Albertsons Companies","ACI","7243.82","14.79","7886265","4.3","-.47","-11.06","15.18","-21.54","3.46","1.45","22.28","13.45","194","Consumer Staples","Consumer Products - Staples",".26","3"
"Alcoa","AA","12856.71","48.72","6153019","-2.31","-24.07","-26.77","36.69","-16.49","7.87","6.36","83.79","28.4","239","Industrial Products","Metal Products - Distribution","8.27","5"
"Alcon","ALC","34128.53","69","1863444",".98","4.09","-14.07","23.11","-20.25","4.94","14.89","92.22","62.02","177","Medical","Medical - Instruments","7.7","2"
"Alexandria Real Estate Equities","ARE","8378.88","48.08","1603898","-3.59","-8.21","-1.84","16.31","-10.51","-2.88","-36.03","87.45","40.41","58","Finance","REIT and Equity Trust - Other","-36.03","4"
"Algonquin Power & Utilities","AQN","4402.57","5.72","4085756","2.51","-4.67","-9.21","21.74","-15.28","4.92","10.05","6.98","5.37","168","Utilities","Utility - Electric Power","6.62","4"
"Alibaba","BABA","269725.34","112.35","13743013","14.75","-.18","-19.85","18.56","-30.18","8.09","6.13","189.34","94.81","107","Retail-Wholesale","Internet - Commerce","10.31","4"
"Alight","ALIT","556.95","20.84","1439842","24.72","57.43","59.06","10.14","-51.33","-3","11.08","118.6","9.8","97","Computer and Technology","Internet - Software","-137.5","3"
"Align Technology","ALGN","12933.52","180.59","1014381","-4.14","1.31","-5.78","67.68","5.34",".9","19.31","207.19","124.88","64","Medical","Medical - Dental Supplies","10.5","2"
"Alignment Healthcare","ALHC","4213.23","20.38","4958079","-17.02","3.03","-5.47","67.65","-6.01","46.06",".47","24.56","11.64","100","Medical","Medical Services",".47","3"
"Alkami Technology","ALKT","1892.1","17.68","2173378","-6.7","15.48","-.39","19.81","-30.19","32.89","8.9","30.19","14.59","97","Computer and Technology","Internet - Software","-10.55","3"
"Alkermes","ALKS","8645.47","51.87","2503981","-5.93","16.93","51.53","88.48","68.86","-5.25","11.59","55.22","26.13","163","Medical","Medical - Biomedical and Genetics","9.78","3"
"Allegiant","ALGT","1970.76","106.89","614996","-7.55","12.23","18.31","82.73","14.18","3.74","4.02","119.16","48.12","84","Transportation","Transportation - Airline","-1.3","2"
"Allegion","ALLE","11718.21","136.36","1190969","-2.7","1.99","-6.04","19.79","-21.99","7.82","16.82","179.77","125.65","190","Industrial Products","Security and Safety Services","15.24","3"
"Allegro MicroSystems","ALGM","9474.75","50.855","3896762","-10.09","-7.54","25.1","59.92","75.6","22.77","11.24","69.62","22.8","43","Computer and Technology","Electronics - Semiconductors","-1.67","3"
"Alliant Energy","LNT","19791.77","76.63","2309012",".07","4.19","5.84","91.35","7.37","9.57","18.78","78.03","61.85","168","Utilities","Utility - Electric Power","18.58","3"
"Allied Gold Corporation","AAUC","2842.27","22.46","412595","-6.65","-14.86","-29.64","53.26","-10.59","82.35","12.12","32.01","11.58","223","Basic Materials","Mining - Gold","-9.08","4"
"Allison Transmission Holdings","ALSN","9618.92","115.98","1539457","-.53","-2.92","-10.61","64.71","7.91","-6.67","18.92","136","79.27","164","Auto-Tires-Trucks","Automotive - Original Equipment","14.88","3"
"Allot","ALLT","406.67","8.36","420108","-2.56","13.28","17.58","40.19","-22.53","10.63","12.54","11.5","6.25","97","Computer and Technology","Internet - Software","5.68","3"
"Allstate","ALL","66015.6","256.45","1808082","3.25","15.62","19.2","100","12.22","5.58","16.48","256.45","190","97","Finance","Insurance - Property and Casualty","17.81","3"
"Ally Financial","ALLY","13830.32","45.12","2614757","-2.4","-.7","-2.55","81.13","-9.25","-3.26","17.33","47.25","35.96","184","Finance","Financial - Consumer Loans","16.47","3"
"Almonty Industries Inc.","ALM","4325.96","15.015","5537233","-7.37","-16.4","-35.75","57.97","55.24","10.56","-49.16","23.42","3.42","198","Basic Materials","Mining - Miscellaneous","-262.29","2"
