

==============================================
TABELA DAILY MARKET SCAN
MARKET DATE: 2026-07-23

MARKET STATISTICS
--------------------------------------------------------------------------------------------------
ETF            State     5D%    20D%    50D%   200D%   RV.20   RV.50    20Dist    50Dist   200Dist
--------------------------------------------------------------------------------------------------
SPY     Distribution   -1.45   -0.24   -0.77   +9.07    2.21    2.05     -1.75     -1.66     +4.92
QQQ     Distribution   -0.48   -3.41   -2.16  +13.86    1.13    1.00     -2.98     -3.72     +7.65
IWM     Distribution   -0.65   -2.27   +3.38  +18.36    1.41    1.20     -1.43     +0.36    +10.46
DIA     Distribution   -1.41   -1.12   +3.13   +9.99    2.59    2.01     -1.81     -0.12     +5.04

RELATIVE PERFORMANCE
------------------------------------------------------------------------------------------
Pair                   1W       4W      10W      40W
----------------------------------------------------
SPY vs QQQ          -0.97     3.17     1.39    -4.79
SPY vs IWM          -0.80     2.03    -4.15    -9.29
SPY vs DIA          -0.04     0.88    -3.90    -0.92
QQQ vs IWM           0.17    -1.14    -5.54    -4.50
QQQ vs DIA           0.93    -2.29    -5.29     3.87
IWM vs DIA           0.76    -1.15     0.25     8.37

==============================================

==============================================
THEME PERFORMANCE
Legend: [] = Top 3   () = Bottom 3
==============================================

Rank  Theme                               Strength        D        W        M        Q   Rank Δ   Score Δ  Transition
------------------------------------------------------------------------------------------------------------------------
   1  Crude Oil                            [16.47]   [9.92]  [16.14]        —        —       -3      3.02  —
   2  Brent Oil                            [15.69]   [7.75]  [13.40]        —        —       -1      2.62  —
   3  Exploration                           [7.91]     0.10     7.11        —        —        0      1.12  —
   4  Pharma                                  5.99    -0.60     4.10        —        —       +1     -1.05  —
   5  Healthcare                              5.57  (-2.48)     0.03        —        —       +3     -1.72  —
   6  Biotech                                 4.32    -1.14    -0.36        —        —       +5     -2.63  Leading -> Neutral
   7  Mlp                                     3.85     0.65     3.45        —        —       -3      1.38  Neutral -> Leading
   8  Insurance                               3.60    -1.20     2.67        —        —       -1     -0.12  —
   9  Agribusiness                            2.89     1.14     3.37        —        —       -6      1.63  —
  10  Banking                                 1.72    -1.57  (-3.59)        —        —       +1     -0.22  —
  11  Aerospace & Defense                     1.36   [5.62]     6.54        —        —       -1      1.78  —
  12  Regional Banks                          1.22  (-2.74)    -2.38        —        —        0     -0.47  —
  13  Copper                                  1.20    -0.81     2.48        —        —       +2     -1.13  —
  14  Transportation/Shipping                 1.18    -0.92     0.43        —        —       -1     -0.02  —
  15  Semiconductors                          1.11     3.05     1.41        —        —       +1     -0.24  —
  16  Natural Gas                             1.00     2.84     6.44        —        —       -5      1.82  —
  17  Reits                                   0.77    -1.67     1.51        —        —       +1     -0.41  —
  18  Media                                   0.74    -0.94    -0.93        —        —       +1     -0.93  —
  19  Cloud Computing                         0.51  (-2.25)    -2.05        —        —       +4     -1.09  —
  20  Timber                                  0.37     0.97     2.05        —        —       -8      2.31  —
  21  Brokers/ Capital Markets                0.23     0.27  (-3.45)        —        —       +1      0.03  —
  22  Telecom                                -0.09     1.52     1.78        —        —       -2      0.51  —
  23  Infrastructure                         -0.47     2.31     1.75        —        —       -1      0.65  —
  24  Copper Mining                          -0.62     4.95   [8.01]        —        —       -1      2.24  —
  25  Leisure And Entertainment              -0.98    -0.73    -0.26        —        —       +1     -0.46  —
  26  Artificial Intelligence                -1.54     2.04     1.51        —        —       +3     -0.86  —
  27  Software                               -1.76    -2.24    -3.33        —        —       +8     -2.22  —
  28  Retail                                 -2.33    -2.11    -2.07        —        —       -1      0.38  —
  29  Internet                               -2.59    -2.06  (-3.49)        —        —       +2     -1.03  —
  30  Medical Devices                        -3.22    -2.24     1.00        —        —       +1     -0.73  —
  31  Engineering And Construction           -3.25     1.48    -2.82        —        —       -1      1.52  —
  32  Uranium Mining                       (-8.02)     4.84     5.23        —        —        0      2.35  —
  33  Nuclear Power                        (-8.33)     5.02     5.47        —        —        0      1.75  —
  34  Rare Earth/Lithium                  (-14.78)     2.52     0.07        —        —        0     -0.71  —

THEME BREADTH ANALYSIS
                          Theme  Total  Qualified Stocks  Breadth %  Breadth Score                      Leaders
                         Memory      4               4.0     100.00         157.72          MU, SNDK, SIMO, WDC
           Cloud Infrastructure      4               4.0     100.00         153.30        DDOG, DOCN, SNOW, NET
        Semiconductor Equipment     21               9.0      42.86         119.53 ACMR, ASML, ICHR, UCTT, AEHR
                     AI Servers      2               2.0     100.00         107.66                    DELL, HPE
                    Exploration    113              26.0      23.01          96.82        VG, LB, PBF, DK, PARR
  Digital Assets Infrastructure      7               3.0      42.86          84.07              HUT, CIFR, RIOT
                         Pharma     11               4.0      36.36          72.28          LLY, JNJ, ABBV, MRK
   Communication Infrastructure      1               1.0     100.00          68.62                         BAND
       Fuel Cell Infrastructure      1               1.0     100.00          68.62                         FCEL
Private Wireless Infrastructure      1               1.0     100.00          68.62                         ATEX
                   Data Storage      1               1.0     100.00          67.93                          STX
              AI Infrastructure      5               2.0      40.00          63.79                   NBIS, CRDO
                AI Connectivity      2               1.0      50.00          52.18                         ALAB
                        Banking    160              19.0      11.88          51.12   SEZL, VCTR, PAYS, STT, MFG
                     AI Compute      3               1.0      33.33          45.28                          AMD
                        Foundry      3               1.0      33.33          43.89                          UMC
           Space Infrastructure      4               1.0      25.00          39.03                         IRDM
            Aerospace & Defense     40               5.0      12.50          38.99     MOG.A, ATI, HWM, AIR, GD
                 Semiconductors     47               5.0      10.64          38.88    MXL, ASX, VPG, LASR, SMTC
      Leisure and Entertainment     39               4.0      10.26          34.54         LTH, CRSR, LIND, VIK

LONG CANDIDATE UNIVERSE
Ticker              Mapped_Theme Theme Classification  RS_Rating  Long_Score Zacks Rank
    VG               Exploration              Leading         97     95.7875          2
 SEZL*                   Banking              Neutral         99     93.2450          2
    LB               Exploration              Leading         90     90.6875          3
 OSCR*                 Insurance              Neutral         97     90.5075          1
   PBF               Exploration              Leading         99     89.8375          1
   MU*                    Memory              Neutral         99     89.7650          1
    DK               Exploration              Leading         98     89.2875          1
  STX*              Data Storage              Neutral         98     89.2150          1
  PARR               Exploration              Leading         97     89.0375          1
   OII               Exploration              Leading         95     88.6375          3
  DINO               Exploration              Leading         97     87.9875          2
 VCTR*                   Banking              Neutral         90     87.8450          1
  CLMT               Exploration              Leading         97     87.3875          2
 SNDK*                    Memory              Neutral         99     87.3650          1
   VLO               Exploration              Leading         95     86.8875          2
    SM               Exploration              Leading         90     86.4875          3
 SIMO*                    Memory              Neutral         97     85.6650          1
   MPC               Exploration              Leading         95     85.6375          3
  EQNR               Exploration              Leading         90     85.5875          3
 PAYS*                   Banking              Neutral         90     85.2450          3
   WKC               Exploration              Leading         90     84.8875          1
   MXL            Semiconductors              Neutral         99     84.7650          3
   PSX               Exploration              Leading         90     84.1375          2
  LLY*                    Pharma              Leading         80     83.9825          3
   ASX            Semiconductors              Neutral         95     83.5150          2
  ACMR   Semiconductor Equipment              Neutral         97     83.3650          3
   TRV                 Insurance              Neutral         90     82.8575          3
   WDC                    Memory              Neutral         97     82.6650          1
 IBKR*                   Banking              Neutral         80     82.6450          1
  DAVE                  Software              Neutral         97     82.5925          1
  ICHR   Semiconductor Equipment              Neutral         99     82.5650         4*
   VPG            Semiconductors              Neutral         98     82.4150          3
  DDOG      Cloud Infrastructure              Neutral         98     82.3900          3
  DOCN      Cloud Infrastructure              Neutral         95     81.9900          2
  SNOW      Cloud Infrastructure              Neutral         98     81.7900          3
  NESR               Exploration              Leading         80     81.7875          1
  MUFG                   Banking              Neutral         90     81.6450          3
  UCTT   Semiconductor Equipment              Neutral         98     81.4150          1
  CARE                   Banking              Neutral         90     81.2450         4*
   AMD                AI Compute              Neutral         98     81.1975          2
   SUN               Exploration              Leading         80     80.9875          3
  LQDA           Medical Devices              Lagging         99     80.9750          1
   UMC                   Foundry              Neutral         95     80.9650         4*
  AMAT   Semiconductor Equipment              Neutral         90     80.4650          2
  ALAB           AI Connectivity              Neutral         95     80.0975          3
  AMBQ            Semiconductors              Neutral         99     79.9650          3
  DELL                AI Servers              Neutral         99     79.7975          1
  SKWD                 Insurance              Neutral         80     79.7575          3
  FTNT             Cybersecurity              Neutral         98     79.5425          1
  PENG                  Software              Neutral         99     79.1925          1
   NET      Cloud Infrastructure              Neutral         90     78.6400          2
   HPE                AI Servers              Neutral         97     78.3975          1
  RELY                   Banking              Neutral         80     78.2450          3
   VSH            Semiconductors              Neutral         90     78.0150          3
  OKTA             Cybersecurity              Neutral         98     77.8925          2
  HNGE           Medical Devices              Lagging         95     77.8750          1
