

==============================================
TABELA DAILY MARKET SCAN
MARKET DATE: 2026-07-27

MARKET STATISTICS
--------------------------------------------------------------------------------------------------
ETF            State     5D%    20D%    50D%   200D%   RV.20   RV.50    20Dist    50Dist   200Dist
--------------------------------------------------------------------------------------------------
SPY              N/A   -1.23   -0.26   -1.21   +9.80    0.81    0.76     -0.96     -0.77     +5.76
QQQ              N/A   -3.77   -5.78   -5.22  +11.58    1.11    0.95     -4.01     -4.94     +6.01
IWM              N/A   -1.22   -2.03   +2.97  +18.72    0.87    0.74     -0.92     +0.50    +10.57
DIA              N/A   -0.05   -0.08   +4.09  +11.84    0.81    0.65     -0.34     +1.22     +6.51

RELATIVE PERFORMANCE
------------------------------------------------------------------------------------------
Pair                   1W       4W      10W      40W
----------------------------------------------------
SPY vs QQQ           2.54     5.52     4.01    -1.78
SPY vs IWM          -0.01     1.77    -4.18    -8.92
SPY vs DIA          -1.18    -0.18    -5.30    -2.04
QQQ vs IWM          -2.55    -3.75    -8.19    -7.14
QQQ vs DIA          -3.72    -5.70    -9.31    -0.26
IWM vs DIA          -1.17    -1.95    -1.12     6.88

==============================================

==============================================
THEME PERFORMANCE
Legend: [] = Top 3   () = Bottom 3
==============================================

Rank  Theme                               Strength        D        W        M        Q   Rank Δ   Score Δ  Transition
------------------------------------------------------------------------------------------------------------------------
   1  Refining & Marketing                  [8.66]        —        —        —        —        —         —  —
   2  Brent Oil                             [5.62] (-10.07)  (-5.33)        —        —        0     -1.24  —
   3  Crude Oil                             [4.90] (-11.57)    -3.86        —        —        0     -1.18  —
   4  Pharma                                  4.68    -1.31    -0.93        —        —       +2     -0.59  —
   5  Insurance                               4.53     0.93    -1.31        —        —       -1      1.45  Neutral -> Leading
   6  Cloud Computing                         4.17   [3.66]    -0.16        —        —       -4      1.52  —
   7  Healthcare                              3.92    -1.65    -3.59        —        —        0      0.21  —
   8  Brokers/ Capital Markets                3.78   [3.55]     3.13        —        —       -4      1.52  —
   9  Aerospace & Defense                     3.19     1.83   [9.08]        —        —       +5      0.66  —
  10  Exploration                             2.88    -5.03  (-4.65)        —        —       +1     -1.06  —
  11  Media                                   2.42     1.68     1.04        —        —        0      0.50  —
  12  Banking                                 2.37     0.65    -1.78        —        —        0      1.08  —
  13  Timber                                  2.23     1.86     1.68        —        —       +1      0.62  —
  14  Copper                                  1.83     0.64     3.15        —        —       -2      1.51  —
  15  Agribusiness                            1.48    -1.41    -1.26        —        —        0      0.18  —
  16  Mlp                                     1.46    -2.39    -2.82        —        —       +1      0.55  Leading -> Neutral
  17  Leisure And Entertainment               1.19     2.17     1.23        —        —       -2      0.18  —
  18  Reits                                   1.17     0.40    -1.73        —        —       -5      1.82  —
  19  Biotech                                 1.07    -3.25    -4.26        —        —       +7     -2.08  Leading -> Neutral
  20  Copper Mining                           0.73     1.35  [12.75]        —        —       -5      1.74  —
  21  Regional Banks                          0.61    -0.61  (-4.92)        —        —       +2      0.82  —
  22  Software                                0.49     2.25    -1.90        —        —       -3      0.77  —
  23  Transportation/Shipping                 0.44    -0.74    -2.51        —        —       +6     -0.09  —
  24  Telecom                                -0.05     0.04     2.32        —        —       +3     -1.06  —
  25  Retail                                 -0.07     2.26    -1.83        —        —        0     -0.09  Lagging -> Neutral
  26  Natural Gas                            -0.63    -1.63     0.61        —        —       +6     -0.87  —
  27  Medical Devices                        -0.83   [2.39]    -0.07        —        —       -3      1.81  Lagging -> Neutral
  28  Internet                               -1.06     1.53    -0.77        —        —        0      0.10  —
  29  Infrastructure                         -2.07    -1.60    -0.01        —        —       +3     -0.73  —
  30  Engineering And Construction           -3.19     0.06    -2.10        —        —        0     -0.32  —
  31  Artificial Intelligence                -4.15    -2.61     1.83        —        —       +6     -2.85  Neutral -> Lagging
  32  Semiconductors                         -4.97  (-6.08)    -0.31        —        —      +15     -4.50  Neutral -> Lagging
  33  Uranium Mining                       (-8.21)    -0.19   [8.83]        —        —       +1     -1.60  —
  34  Nuclear Power                        (-8.57)    -0.24     8.34        —        —       +1     -1.71  —
  35  Rare Earth/Lithium                  (-13.44)     1.34     4.03        —        —       +1     -2.05  —

THEME BREADTH ANALYSIS
                          Theme  Total  Qualified Stocks  Breadth %  Breadth Score                     Leaders
           Cloud Infrastructure      4               4.0     100.00         143.24       SNOW, DDOG, NET, DOCN
                      Insurance     64              16.0      25.00          85.77    OSCR, SKWD, TRV, HG, FAF
                         Memory      4               2.0      50.00          79.26                    MU, SNDK
            Aerospace & Defense     37               9.0      24.32          76.18     AIR, DCO, RTX, ATI, DRS
Private Wireless Infrastructure      1               1.0     100.00          68.62                        ATEX
       Fuel Cell Infrastructure      1               1.0     100.00          67.93                        FCEL
   Communication Infrastructure      1               1.0     100.00          67.93                        BAND
                        Banking    151              22.0      14.57          63.85 SEZL, VCTR, MRX, AMTB, PAYS
                   Data Storage      1               1.0     100.00          62.38                         STX
                    Exploration    103              13.0      12.62          53.52     OII, PBF, DK, WKC, PARR
                  Cybersecurity     10               2.0      20.00          46.76                  FTNT, OKTA
                     AI Compute      3               1.0      33.33          43.89                         AMD
      Leisure and Entertainment     32               4.0      12.50          41.63        VIK, LTH, CRSR, LIND
                    Restaurants     24               3.0      12.50          39.16             BJRI, EAT, CBRL
           Space Infrastructure      4               1.0      25.00          36.21                        IRDM
              Business Software      6               1.0      16.67          30.82                       RCRUY
  Digital Assets Infrastructure      6               1.0      16.67          29.19                         HUT
                        Telecom      8               1.0      12.50          24.72                        UMAC
                  Copper Mining     10               1.0      10.00          21.58                         CRS
                          REITs    120               6.0       5.00          20.70  CLDT, RHP, PEB, CURB, TRNO

LONG CANDIDATE UNIVERSE
Ticker              Mapped_Theme Theme Classification  RS_Rating  Long_Score Zacks Rank
 SEZL*                   Banking              Neutral         99     92.2300          2
  OSCR                 Insurance              Leading         95     91.2975          1
  SNOW      Cloud Infrastructure              Leading         98     91.0100          2
  DDOG      Cloud Infrastructure              Leading         98     90.3600          3
 VCTR*                   Banking              Neutral         95     89.5800          1
  SKWD                 Insurance              Leading         90     87.1475          3
   OII               Exploration              Neutral         99     86.7550          3
   TRV                 Insurance              Leading         90     85.9975          2
   PBF               Exploration              Neutral         99     85.7550          1
   VIK Leisure and Entertainment  Unclassified Leader         90     85.7500          2
  AIR*       Aerospace & Defense              Neutral         90     85.2950          1
    DK               Exploration              Neutral         98     85.2050          1
  MRX*                   Banking              Neutral         90     85.0300          1
   WKC               Exploration              Neutral         97     84.6550          1
  AMTB                   Banking              Neutral         95     84.2800          3
 PAYS*                   Banking              Neutral         90     84.2300          3
  PARR               Exploration              Neutral         97     84.2050          2
  LTH* Leisure and Entertainment              Unknown         97     84.1500          1
 DAVE*                  Software              Neutral         95     84.1475          2
  DINO               Exploration              Neutral         97     83.9050          2
 LQDA*           Medical Devices              Neutral         99     83.2550          1
  FTNT             Cybersecurity              Neutral         98     82.9475          1
   VLO               Exploration              Neutral         95     82.8050          2
   HG*                 Insurance              Leading         80     82.2475          3
  CLMT               Exploration              Neutral         95     82.2050          2
   EAT               Restaurants              Unknown         95     81.9500          3
  NET*      Cloud Infrastructure              Leading         80     81.8600          1
 DOCN*      Cloud Infrastructure              Leading         80     81.7100          2
    FA                  Software              Neutral         95     81.6975          3
 IBKR*                   Banking              Neutral         80     81.6300          1
   MPC               Exploration              Neutral         95     81.5550          3
  PENG                  Software              Neutral         97     81.4975          1
   LB*               Exploration              Neutral         80     81.1050          3
  EVER                  Software              Neutral         95     81.0975          3
  OKTA             Cybersecurity              Neutral         97     80.7475          2
  MUFG                   Banking              Neutral         90     80.6300          3
  WSBC                   Banking              Neutral         80     80.5300          3
  CARE                   Banking              Neutral         90     80.2300         4*
   PSX               Exploration              Neutral         90     80.0550          2
  BLZE                  Software              Neutral         99     79.6975          3
  PANW             Cybersecurity              Neutral         97     79.4975          3
    MU                    Memory              Lagging         98     79.4650          1
   NP*                 Insurance              Leading         70     79.1975          2
  APPS                  Software              Neutral         98     79.1475          3
  NESR               Exploration              Neutral         80     77.7050          1
  SNDK                    Memory              Lagging         99     77.6150          1
  VRNS             Cybersecurity              Neutral         95     77.4975          3
  NTAP       Data Infrastructure              Neutral         95     77.4975          3
  HNGE           Medical Devices              Neutral         90     77.4050          1
  DELL                AI Servers              Lagging         99     77.3025          1
   AMD                AI Compute              Lagging         95     77.0525          2
   SUN               Exploration              Neutral         80     76.9050          3
   HPE                AI Servers              Lagging         98     76.4525          1
