

==============================================
TABELA DAILY MARKET SCAN
MARKET DATE: 2026-07-22

MARKET STATISTICS
--------------------------------------------------------------------------------------------------
ETF            State     5D%    20D%    50D%   200D%   RV.20   RV.50    20Dist    50Dist   200Dist
--------------------------------------------------------------------------------------------------
SPY              N/A   -0.52   +1.85   +1.01  +11.59    1.04    0.98     +0.15     +0.23     +7.01
QQQ    Consolidation   -0.31   -0.97   -1.34  +16.67    0.72    0.66     -1.46     -2.14     +9.56
IWM              N/A   +0.14   -0.24   +3.74  +20.40    0.76    0.66     -0.20     +1.74    +12.03
DIA              N/A   -0.50   +0.71   +5.05  +11.70    0.94    0.74     -0.19     +1.64     +6.87

RELATIVE PERFORMANCE
------------------------------------------------------------------------------------------
Pair                   1W       4W      10W      40W
----------------------------------------------------
SPY vs QQQ          -0.21     2.82     2.35    -5.08
SPY vs IWM          -0.66     2.09    -2.73    -8.81
SPY vs DIA          -0.02     1.14    -4.04    -0.11
QQQ vs IWM          -0.45    -0.73    -5.08    -3.73
QQQ vs DIA           0.19    -1.68    -6.39     4.97
IWM vs DIA           0.64    -0.95    -1.31     8.70

==============================================

==============================================
THEME PERFORMANCE
Legend: [] = Top 3   () = Bottom 3
==============================================

Rank  Theme                               Strength        D        W        M        Q   Rank Δ   Score Δ  Transition
------------------------------------------------------------------------------------------------------------------------
   1  Brent Oil                            [10.56]     2.39   [9.79]        —        —       +1     -0.23  —
   2  Crude Oil                             [9.57]     3.10  [11.25]        —        —       +1      0.08  —
   3  Exploration                           [8.93]     1.91   [8.93]        —        —        0      0.79  —
   4  Healthcare                              6.33    -1.04     0.70        —        —       -1      0.68  —
   5  Pharma                                  5.54     0.95     5.62        —        —       -3         2  —
   6  Insurance                               4.68    -1.19     1.81        —        —       +2     -1.07  —
   7  Mlp                                     4.58     0.17     4.17        —        —       +2     -1.21  —
   8  Regional Banks                          3.49    -0.85     3.08        —        —       -1     -0.38  —
   9  Agribusiness                            3.38     1.11     4.87        —        —       +1     -0.52  —
  10  Banking                                 3.07    -0.41     0.75        —        —       -2     -0.19  —
  11  Biotech                                 2.83    -1.17    -1.27        —        —       -4      1.46  Neutral -> Leading
  12  Transportation/Shipping                 2.08     0.00     2.04        —        —       -2      0.02  —
  13  Reits                                   2.03    -0.62     4.03        —        —        0     -0.21  —
  14  Timber                                  1.71     1.82     4.90        —        —        0     -0.49  —
  15  Cloud Computing                         1.67  (-2.93)    -3.80        —        —       +5     -1.84  Leading -> Neutral
  16  Copper                                  0.88     0.61     2.96        —        —       -6      1.74  —
  17  Media                                   0.75    -0.59    -1.90        —        —        0      0.34  —
  18  Retail                                  0.16    -0.67     2.22        —        —       +1     -1.05  —
  19  Brokers/ Capital Markets               -0.01    -0.87    -2.03        —        —       +1     -0.90  —
  20  Natural Gas                            -0.02     2.16     6.33        —        —       +1      0.34  —
  21  Leisure And Entertainment              -0.71    -1.08     0.92        —        —       +1     -0.62  —
  22  Telecom                                -1.10     1.99    -1.52        —        —       -2      1.48  —
  23  Internet                               -1.56  (-1.61)    -3.22        —        —        0     -0.58  —
  24  Medical Devices                        -1.71    -1.04     5.05        —        —        0     -0.31  —
  25  Software                               -1.74  (-4.32)  (-4.33)        —        —       +4     -2.10  —
  26  Infrastructure                         -2.13     0.56     0.31        —        —       +2     -0.09  —
  27  Semiconductors                         -2.18     2.76  (-6.10)        —        —       -3         3  Lagging -> Neutral
  28  Aerospace & Defense                    -2.48     2.23     3.56        —        —       +1      0.45  —
  29  Engineering And Construction           -3.21     0.60    -0.75        —        —       +3     -0.92  Neutral -> Lagging
  30  Copper Mining                          -3.33   [6.05]     2.75        —        —        0      3.81  —
  31  Artificial Intelligence                -4.44     1.29    -4.18        —        —       -2      2.15  —
  32  Uranium Mining                      (-10.51)   [4.85]    -1.53        —        —        0      2.50  —
  33  Nuclear Power                       (-11.60)   [4.27]    -1.21        —        —        0      2.52  —
  34  Rare Earth/Lithium                  (-18.01)     0.50  (-4.61)        —        —        0      1.21  —

THEME BREADTH ANALYSIS
                          Theme  Total  Qualified Stocks  Breadth %  Breadth Score                      Leaders
           Cloud Infrastructure      4               4.0     100.00         153.30        DOCN, DDOG, SNOW, NET
                         Memory      4               3.0      75.00         117.89               MU, SNDK, SIMO
                    Exploration    115              23.0      20.00          85.11        VG, LB, PARR, OII, DK
  Digital Assets Infrastructure      7               3.0      42.86          81.70              HUT, CIFR, RIOT
Private Wireless Infrastructure      1               1.0     100.00          68.62                         ATEX
   Communication Infrastructure      1               1.0     100.00          68.62                         BAND
       Fuel Cell Infrastructure      1               1.0     100.00          67.93                         FCEL
                   Data Storage      1               1.0     100.00          67.93                          STX
                        Banking    160              19.0      11.88          50.64 SEZL, PAYS, VCTR, IBKR, MUFG
                  Cybersecurity     10               2.0      20.00          46.76                   FTNT, OKTA
                     AI Compute      3               1.0      33.33          45.28                          AMD
                      Insurance     72               8.0      11.11          39.74   OSCR, TRV, SKWD, PLGO, ALL
                Medical Devices    277              20.0       7.22          38.07 LQDA, HNGE, ETON, IOVA, CORT
        Transportation/Shipping     56               6.0      10.71          37.31 RXO, SNDR, ARCB, EXPD, DHLGY
                         Pharma     11               2.0      18.18          36.14                    LLY, ABBV
      Leisure and Entertainment     39               4.0      10.26          34.54         CRSR, LTH, LIND, VIK
              AI Infrastructure      5               1.0      20.00          34.04                         NBIS
              Business Software      6               1.0      16.67          30.82                        RCRUY
                          REITs    127               4.0       3.15          12.61        PEB, WELL, TRNO, PSTL
                    Restaurants     27               1.0       3.70          12.08                         BJRI

LONG CANDIDATE UNIVERSE
Ticker              Mapped_Theme Theme Classification  RS_Rating  Long_Score Zacks Rank
    VG               Exploration              Leading         95     94.6875          2
 SEZL*                   Banking              Neutral         99     93.2450          2
  OSCR                 Insurance              Leading         97     91.7200          1
    LB               Exploration              Leading         90     90.6875          3
  PARR               Exploration              Leading         98     89.5875          1
   OII               Exploration              Leading         95     88.6375          3
    DK               Exploration              Leading         98     88.5375          2
 PAYS*                   Banking              Neutral         95     87.9950          3
  DINO               Exploration              Leading         97     87.9875          2
 VCTR*                   Banking              Neutral         90     87.8450          1
   PBF               Exploration              Leading         99     87.8375          3
  CEPL               Exploration              Leading         90     87.6875          3
  CLMT               Exploration              Leading         97     87.3875          2
  NESR               Exploration              Leading         90     87.2875          1
   VLO               Exploration              Leading         95     86.8875          2
    SM               Exploration              Leading         90     86.4875          3
   MPC               Exploration              Leading         95     85.6375          3
  DOCN      Cloud Infrastructure              Neutral         97     85.5150          2
   TRV                 Insurance              Leading         90     85.3200          2
 LQDA*           Medical Devices              Neutral         99     84.6100          1
 DAVE*                  Software              Neutral         98     84.3550          1
   WKC               Exploration              Leading         90     84.2875          1
  DDOG      Cloud Infrastructure              Neutral         97     84.2650          3
  SNOW      Cloud Infrastructure              Neutral         97     83.6650          3
  LLY*                    Pharma              Leading         80     83.3750          3
   PSX               Exploration              Leading         90     82.8875          3
 IBKR*                   Banking              Neutral         80     82.6450          1
  HNGE           Medical Devices              Neutral         97     82.6100          1
    MU                    Memory              Neutral         99     82.4925          1
   STX              Data Storage              Neutral         98     81.9425          1
  MUFG                   Banking              Neutral         90     81.6450          3
  CARE                   Banking              Neutral         90     81.2450         4*
   NET      Cloud Infrastructure              Neutral         90     81.0650          2
   SUN               Exploration              Leading         80     80.9875          3
  SKWD                 Insurance              Leading         80     80.9700          3
  FTNT             Cybersecurity              Neutral         98     80.7550          1
  PENG                  Software              Neutral         99     80.4050          1
  SNDK                    Memory              Neutral         99     80.0925          1
  APPS                  Software              Neutral         98     78.9550          1
  OKTA             Cybersecurity              Neutral         97     78.5550          2
  RELY                   Banking              Neutral         80     78.2450          3
   AMD                AI Compute              Lagging         98     78.1675          2
  PANW             Cybersecurity              Neutral         98     77.8550          3
  BLZE                  Software              Neutral         99     77.5050          3
   MXL            Semiconductors              Neutral         99     77.4925          3
    BB                  Software              Neutral         97     77.3550          2
  SIMO                    Memory              Neutral         95     77.2925          1
  DELL                AI Servers              Lagging         99     76.7675          1
    FA                  Software              Neutral         90     76.7550          3
   ASX            Semiconductors              Neutral         95     76.2425          2
  EVER                  Software              Neutral         90     76.1550          3
