Ticker,Company Name,Sector,Industry,RS_Rating,Long_Score,Last Close,Price as a % of 52 Wk H-L Range,Market Cap (mil)
SEZL,Sezzle Inc.,Business Services,Financial Transaction Services,98,92.65,163.74,85.96,5506.09
VICR,Vicor,Computer and Technology,Electronics - Miscellaneous Components,97,88.94999999999999,331.59,89.45,15114.34
SNEX,StoneX Group,Finance,Financial - Miscellaneous Services,95,88.6,137.28,97.95,10879.65
DAVE,DAVE INC,Business Services,Technology Services,90,88.25,322.75,99.72,4103.52
CECO,CECO Environmental,Industrial Products,Pollution Control,90,85.85,95.09,93.58,3411.17
MRX,Marex Group PLC,Finance,Financial - Miscellaneous Services,90,85.25,64.12,93.75,4676.75
VIRT,Virtu Financial,Finance,Financial - Miscellaneous Services,90,85.25,61.05,92.39,9468.02
PTRN,Pattern Group Inc.,Retail-Wholesale,Internet - Commerce,90,84.5,21.79,100.0,3381.01
