Ticker,Company Name,Sector,Industry,RS_Rating,Long_Score,Last Close,Price as a % of 52 Wk H-L Range,Market Cap (mil)
BAND,Bandwidth,Computer and Technology,Communication - Infrastructure,99,83.45,61.6,80.8,1972.27
ATEX,Anterix,Computer and Technology,Communication - Infrastructure,99,82.65,105.14,96.6,2050.07
PTRN,Pattern Group Inc.,Retail-Wholesale,Internet - Commerce,98,83.9,26.43,99.7,4100.97
QLYS,Qualys,Computer and Technology,Security,95,81.65,148.12,92.68,5216.34
ENVA,Enova International,Finance,Financial - Consumer Loans,95,80.75,235.19,95.06,5852.68
VIRT,Virtu Financial,Finance,Financial - Miscellaneous Services,90,86.5,61.77,94.71,9579.68
ABX,"Abacus Global Management, Inc.",Finance,Financial - Miscellaneous Services,90,81.9,11.86,100.0,1137.64
