Market Date,ETF,Derived Price,Volume,20D Avg Vol,1D Perf %,5D Perf %,20D Perf %,50D Perf %,200D Perf %,5D Dist %,20D Dist %,50D Dist %,200D Dist %
2026-09-16,DIA,519.4,1274993,3044934,-0.35,-0.89,-2.45,-1.6,10.68,-0.56,-1.92,-1.72,4.22
2026-09-16,IWM,285.76,4296460,18625123,0.22,-1.42,-4.57,-3.27,16.73,-0.3,-2.6,-3.09,4.63
2026-09-16,QQQ,709.75,5598055,29042042,0.74,-0.92,-1.08,0.05,15.97,0.05,-0.44,-0.03,7.41
2026-09-16,SPY,758.93,5762541,36685397,0.2,-0.46,-1.11,1.5,12.58,-0.12,-0.78,-0.05,6.38
