Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","8936.66","68.59","2536455","8.49","17.95","97.35","100","266.99","5.25","-12.18","68.59","11.34","82","Medical","Medical Info Systems","-12.18","3"
"3M","MMM","85078.66","164.97","2546974","-1.98","-9.68","2.72","55.82","-8.27","1.52","18.35","183.78","141.2","54","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","727.56","13.17","1097430","-10.41","13.05","36.34","64.67","62.19","230194.59","-194.74","16.76","6.6","165","Medical","Medical - Drugs","-194.74","3"
"908 Devices","MASS","393.5","9.52","424902","-5.18","-5.84","7.57","73.71","60.59","-5.76","-27.88","11.1","5.09","157","Medical","Medical - Instruments","-56.96","3"
"A. O. Smith","AOS","7799.82","57.39","1188594","-5.19","-8.18","-1.43","6.52","-23.54",".32","13.6","80.47","55.78","68","Industrial Products","Manufacturing - Electronics","13.15","3"
"A10 Networks","ATEN","1796.35","24.74","1153870",".12","-8.37","-25.62","37.99","24.32","11.03","23.3","38.11","16.55","85","Computer and Technology","Internet - Software","13.85","3"
"A2Z Cust2Mate Solutions Corp.","AZ","257.92","5.79","564044","-3.34","-28.52","1.22","18.16","-20.63","10.26","-241.67","8.81","5.12","85","Computer and Technology","Internet - Software","-241.67","3"
"AAON","AAON","6579.42","79.795","1025088","2.33","-8.98","-41.64","8.43","-9.51","20.11","8.29","148.25","73.49","31","Construction","Building Products - Air Conditioner and Heating","8.24","3"
"AAR","AIR","5005.65","125.48","368892","-.14","-12.49","-6.97","64.62","35.57","18.97","5.89","153.71","73.92","44","Aerospace","Aerospace - Defense Equipment","5.67","2"
"ABCELLERA BIOLG","ABCL","3338.99","10.89","5529385","-5.88","-.73","96.93","83.44","175.79","160.56","-248.83","12.5","2.78","165","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2897.34","49.43","431372","4.66","2.72","11.96","91.14","4.6","4.62","2.4","50.6","37.39","186","Business Services","Business - Services","1.82","3"
"ACADIA Pharmaceuticals","ACAD","4795.28","27.83","1320964","-.11","-1.94","28.72","73.93","-6.35","11.87","9.31","30.57","20.06","165","Medical","Medical - Biomedical and Genetics","33.42","3"
"ACI Worldwide","ACIW","5258.75","52.09","733920","-1.55","-2.93","18.15","62.74","-1.98","10.38","17.86","60.18","38.47","104","Computer and Technology","Computer - Software","12.4","1"
"ACM Research","ACMR","4655.3","72","851128","3.72","-11.32","-34.47","44.54","65.46","15.24","10.69","126.89","27.91","1","Computer and Technology","Semiconductor Equipment - Material Services","14.48","1"
"ACV Auctions","ACVA","1767.7","10.41","3867819","55.37","30.78","60.65","91.65","-18.82","19.22","3.47","10.98","4.15","25","Business Services","Auction and Valuation Services","-7.88","3"
"ADEIA INC","ADEA","2945.58","26.71","774130","4.91","-6.9","-16.03","68.39","37.5","17.91","44.9","33.63","11.74","162","Business Services","Technology Services","26.05","3"
"ADMA Biologics","ADMA","2067.38","9.23","1706157","-3.65","-1.91","11.07","12.75","-53.58","19.63","33.47","20.38","7.6","165","Medical","Medical - Biomedical and Genetics","32.98","3"
"ADT","ADT","5150.44","7.05","5965692","-6.13","-5.62","7.14","29.41","-21.67","4.72","14.42","8.85","6.3","93","Industrial Products","Security and Safety Services","11.85","2"
"ADTRAN Holdings, Inc.","ADTN","614.37","7.54","1575362","5.45","-6.57","-50.33","3.58","-25.5","17.46","2.48","19.4","7.1","34","Computer and Technology","Communication - Components","-2.29","4"
"AECOM","ACM","8176.06","63.53","2184861","-4.94","-.13","-7.67","3.4","-40.51",".21","6.7","134.35","61.04","160","Construction","Engineering - R and D Services","1.87","5"
