Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"Ionis Pharmaceuticals","IONS","10192.08","61.33","2158442","-3.2","13.18","-16.35","42.62","-30.78","33.9","-46.22","86.5","42.63","156","Medical","Medical - Drugs","-64.76","3"
"Iovance Biotherapeutics","IOVA","3904.61","8.62","19203322","6.68","98.62","128.04","94.85","181.93","60.6","-89.11","8.99","1.81","164","Medical","Medical - Biomedical and Genetics","-89.11","2"
"Iridium Communications","IRDM","4977.95","46.97","912738","-.49","-2.89","2.98","78.06","141.31","4.93","11.83","55.72","15.84","219","Computer and Technology","Satellite and Communication","10.55","3"
"Iron Mountain","IRM","33295.08","111.84","1548282","-7.9","-12.03","-9.34","60.85","20.39","12.23","9.28","133.06","78.86","77","Business Services","Business - Information Services","5.54","3"
"Itau Unibanco","ITUB","89496.71","8.08","21790738","6.18","-1.58","6.04","50.45",".76","-51.69","25.39","9.57","6.56","74","Finance","Banks - Foreign","26.41","3"
"Itron","ITRI","4208.78","96.12","500244","-2.77","-8.95","20.63","30.09","-7.58","-3.02","14.05","138.18","78.02","21","Computer and Technology","Electronics - Testing Equipment","11.9","1"
"Ivanhoe Mines Ltd.","IVPAF","11967.3","8.39","350233","-6.26","2.94","5.4","20.12","-34.21","981.91","49.44","13.91","7","208","Basic Materials","Mining - Miscellaneous","23.47","3"
"J.B. Hunt Transport Services","JBHT","24438.54","260.22","755898","-1.3","-4.56","-7.31","77.24","19.56","-.73","5.31","298.41","130.65","23","Transportation","Transportation - Truck","5.31","2"
"JACOBS SOLUTNS","J","17367.34","147.08","844208","-2.93","1.67","20.8","69.63","-.85","4.6","5.74","164.44","107.27","163","Construction","Building Products - Miscellaneous","2.4","3"
"JBG SMITH Properties","JBGS","698.81","11.93","848169","-3.4","-2.21","-18.95","5.53","-37.38","-8.9","-36.07","24.23","11.21","90","Finance","REIT and Equity Trust - Other","-29.89",""
"JBS N.V.","JBS","10508.22","13.54","5963465","-1.53","-1.17","12.55","28.24","-16.16","11.66","1.22","18.42","11.62","198","Consumer Staples","Food - Miscellaneous","1.22","3"
"JBT Marel Corporation","JBTM","6019.27","116.03","596969","-3.25","-4.9","-2.5","1.87","-31.24","121.34","9.94","168.55","115.03","159","Business Services","Technology Services","4.89","3"
"JD.com","JD","34739.06","27.83","8580714","-3.27","-14.47","-2.18","24.04","-13.42","17.91","1.77","36.17","25.19","98","Retail-Wholesale","Internet - Commerce","1.13","3"
"JFrog","FROG","11310.43","91.73","2266996","-1.15","8.53","14.15","82.25","31.13","24.12","20.53","104.03","34.75","74","Computer and Technology","Internet - Software","-7.35","3"
"JOYY Inc. Sponsored ADR","JOYY","3726.85","74.56","353484","-.33","-.33","9.25","97.9","2.8","-5.07","11.57","75","54.06","187","Computer and Technology","Internet - Services","9.64","3"
"JPMorgan Chase & Co.","JPM","946899.13","356.22","5462592","-.08","-.84","15.23","89.12","-1.29",".52","31.54","365.18","282.84","32","Finance","Financial - Investment Bank","21.86","2"
"Jabil","JBL","31372.21","299.39","953074","-3.71","-11.59","-15.03","55.35","17.24","3.18","3.85","385.63","192.49","7","Computer and Technology","Electronics - Manufacturing Services","2.57","3"
"Jack Henry & Associates","JKHY","11710.91","167.03","976042","-3.11","8.22","30.91","63.04","-18.27","7.12","19.76","192.6","123.42","98","Computer and Technology","Computers - IT Services","19.76","3"
"Jack In The Box","JACK","304.18","15.86","815019","-3.7","-13.9","28.21","45.77","-25.27","-6.75","4.93","23.52","9.4","95","Retail-Wholesale","Retail - Restaurants","2.84","3"
