Company Name,Ticker,Zacks Rank,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %
"Agilent Technologies","A","3","42531.79","146.85","2217757","-1.76","1.44","15.52","83.31","-1.67","6.73","23.33","159","110.24","95","Medical","Medical - Products","19.53"
"Alcoa","AA","4","13187.56","51.74","4398000",".04","-3.22","-22.12","36.02","-16.6","7.87","9.29","83.79","30.93","69","Industrial Products","Metal Products - Distribution","9.48"
"American Airlines","AAL","3","8691.67","12.91","57183424","-2.23","-12.47","-15.07","37.01","-24.04",".78","-.3","18.15","10.18","199","Transportation","Transportation - Airline","-.56"
"Acadian Asset Management Inc.","AAMI","4","3321.17","92.15","347411","-.66","3.15","16.15","93.26","76.58","11.49","24.38","97.31","41.93","103","Finance","Financial - Miscellaneous Services","15.17"
"Applied Optoelectronics","AAOI","3","8924.59","111.55","8800046","-2.01","-20.54","-44.91","42.26","168.48","82.75","-.92","223.1","19.49","45","Computer and Technology","Electronics - Semiconductors","-9.57"
"AAON","AAON","3","6546.82","79.4","1117639","4.51","-11.03","-39.51","7.91","-7.65","20.11","8.29","148.25","73.49","38","Construction","Building Products - Air Conditioner and Heating","8.24"
"Advance Auto Parts","AAP","3","2668.47","42.56","2533838","4.74","-20.73","-27.62","21.36","-.3","-5.42","2.53","64.17","38.75","74","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".97"
"Apple","AAPL","3","4669699.5","316.22","37415224",".98","3.8","7.94","82.25","4.38","6.43","27.27","340.08","226.79","30","Computer and Technology","Computer - Micro Computers","27.62"
"American Assets Trust","AAT","3","1353.35","21.83","399285","-1.87","-2.22","-9.23","52.9","3.26","-4.73","4.09","25.85","17.76","168","Finance","REIT and Equity Trust - Retail","4.09"
"Allied Gold Corporation","AAUC","3","3291.4","22.9","511940",".25","6.3","-10.46","52.76","-8.44","82.35","13.81","32.01","14.25","216","Basic Materials","Mining - Gold","-4.19"
"AbbVie","ABBV","3","453111.69","248.78","4064152",".02","3.42","15.74","86.14","-.46","8.57","30.03","265.97","197.38","103","Medical","Large Cap Pharmaceuticals","9.8"
"ABCELLERA BIOLG","ABCL","3","3504.57","11.44","7701507","-.44","22.38","117.3","88.99","196.41","160.56","-248.83","12.5","2.78","162","Medical","Medical - Biomedical and Genetics","-248.83"
"ABM Industries","ABM","3","2756.23","50.6","328928",".9","-1.82","6.93","80.7","-1.35","4.62","2.32","49.36","37.39","174","Business Services","Business - Services","1.75"
"Airbnb","ABNB","3","108943.06","174.54","4636354","-.7","-1.49","30.93","89.16","18.89","10.26","20.45","190.5","111.54","199","Consumer Discretionary","Leisure and Recreation Services","20.45"
"Arbor Realty Trust","ABR","3","979.43","5.01","3306739","4.79","-2.05","1.74","6","-40","-19.51","20.51","12.46","4.79","235","Finance","REIT and Equity Trust","6.24"
"Abbott Laboratories","ABT","3","187452.42","105.52","7190505","-1.84","-.27","22.17","47.67","-23.32","5.67","19.79","136.62","82.56","95","Medical","Medical - Products","11.65"
"American Bitcoin Corp.","ABTC","NA","581.83","8.41","1791068","-.99","13.01","-37.57","2.08","-72.2","801.52","-71.75","139.58","5.19","103","Finance","Financial - Miscellaneous Services","-71.75"
"Arbutus Biopharma","ABUS","NA","1020.24","5.18","4422789","1.38","12.2","19.21","95.48","-5.04","128.21","84.22","5.22","3.67","162","Medical","Medical - Biomedical and Genetics","84.22"
"Abacus Global Management, Inc.","ABX","2","939.78","9.73","496351",".1",".95","-.41","65.76","-.32","110.18","33.55","12","5.02","103","Finance","Financial - Miscellaneous Services","10.55"
"Arcosa","ACA","3","7142.58","145.65","524766",".1",".5","13.24","99.93","21.33","12.2","7.82","145.49","89.15","103","Construction","Building Products - Miscellaneous","17.9"
"ACADIA Pharmaceuticals","ACAD","3","4828","27.58","1345826","-3.08","-4.66","31.77","75.74","-6.96","11.87","9.31","30.57","20.06","162","Medical","Medical - Biomedical and Genetics","33.42"
"ProFrac Holding Corp.","ACDC","4","937.93","5.42","1447032",".98",".98","-26.43","40.25","17.42","-11.37","-19.76","8.06","3.19","174","Oils-Energy","Oil and Gas - Field Services","-22.83"
"Arch Capital Group","ACGL","3","33474.58","95.71","2163203",".03","-.15","7.21","61.49","-9.3","14.27","21.65","106.48","84.72","69","Finance","Insurance - Property and Casualty","24.4"
"Acadia Healthcare","ACHC","3","2618.91","27.5","1475834","2.07","-11.49","12.56","68.74","75.81","5.04","4.14","35.61","11.68","59","Medical","Medical - Hospital","-33.44"
"Albertsons Companies","ACI","5","6090.84","12.14","5565446","1.62","3.46","-15.55","17.45","-35.18","3.46","1.32","19.74","11.03","186","Consumer Staples","Consumer Products - Staples",".08"
"ACI Worldwide","ACIW","2","5345.58","51.98","758621","-.62",".19","18.22","66.7","-1.78","10.38","17.86","60.18","38.47","103","Computer and Technology","Computer - Software","12.4"
"AECOM","ACM","5","8568.61","66.04","2655947","-1.26","-9.17","-4.33","7.56","-38.06",".21","6.7","134.35","61.04","156","Construction","Engineering - R and D Services","1.87"
"ACM Research","ACMR","1","4813.1","76.91","807478","2.22","-6.26","-21.82","47.51","67.35","15.24","10.69","126.89","26.97","1","Computer and Technology","Semiconductor Equipment - Material Services","14.48"
"Accenture","ACN","3","124693.64","179.03","4882442","-1.6","4.75","12.92","37.95","-38.28","7.36","11.72","288.54","124.44","154","Computer and Technology","Computers - IT Services","10.66"
"Aclaris Therapeutics","ACRS","3","862.72","6.06","1478405","1.98","4.58","41.51","92.28","81.8","-58.19","-921.5","6.53","1.81","160","Medical","Medical - Drugs","-921.5"
"Enact Holdings","ACT","3","6878.13","49.3","311522","2.22","1.59","16.37","94.9","10.23","2.83","54.85","50.04","34.93","84","Finance","Insurance - Multi line","54.51"
"ACV Auctions","ACVA","3","1185.26","7.03","4544075","-.71","-3.86","10.62","36.94","-22.81","19.22","3.47","11.81","4.15","48","Business Services","Auction and Valuation Services","-7.88"
"Adamas Trust, Inc.","ADAM","1","876.33","9.71","740269",".1","-.41","5.06","86.85","18.45","50.01","73.83","10.23","6.58","235","Finance","REIT and Equity Trust","29.82"
"Adobe","ADBE","4","105937.73","257.26","4118980","-8.98","-2.36","29.15","42","-32.47","10.53","37.44","367.46","193.41","103","Computer and Technology","Computer - Software","28.69"
"Agree Realty","ADC","3","9032.43","72.78","1438531",".51","-2.05","-2.48","20.51","-10.59","16.42","30.3","81.92","70.22","168","Finance","REIT and Equity Trust - Retail","28.84"
