Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","7435.82","58.57","3194666","24.59","40.22","173.05","100","217.07","5.25","-12.18","58.57","11.34","101","Medical","Medical Info Systems","-12.18","3"
"3M","MMM","93882.1","182.04","3889802","2.71","15.43","19.35","97.94",".39","1.52","18.35","182.9","141.2","97","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","582.36","11.14","625835","10.41","-1.42","33.17","72.2","31.15","230194.59","-182.34","13.3","5.53","148","Medical","Medical - Drugs","-182.34","3"
"908 Devices","MASS","332.76","8.8","306054","4.51","10.69","32.53","91.38","48","-5.76","-34.17","9.15","5.09","106","Medical","Medical - Instruments","-62.4","3"
"A. O. Smith","AOS","8482.05","62.41","1832171","2.77","4.84","10.07","26.85","-17.61",".32","13.6","80.47","55.78","59","Industrial Products","Manufacturing - Electronics","13.15","3"
"A10 Networks","ATEN","2057.01","28.33","1426614","-5.41","-23",".75","54.64","41.4","11.03","23.3","38.11","16.55","101","Computer and Technology","Internet - Software","13.85","3"
"AAON","AAON","7309.8","89.24","1201415","-3.59","-20.46","-33.37","22.53","3.34","20.11","8.29","148.25","72.07","44","Construction","Building Products - Air Conditioner and Heating","8.24","3"
"AAR","AIR","5692.26","142.69","465117","-.26","9.01","37.48","91.33","52.18","18.97","5.89","149.43","71.73","59","Aerospace","Aerospace - Defense Equipment","5.67","1"
"ABB","ABBNY","183500.5","100.65","410605","1.54","-.94","-2.89","79.42","20.14","1.13","13.74","109.73","65.61","59","Industrial Products","Manufacturing - Electronics","13.86","3"
"ABCELLERA BIOLG","ABCL","2863.75","9.34","7100631","60.21","43.25","124.52","100","141.13","160.56","-248.83","9.34","2.78","152","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2807.2","47.92","436665","-1.68","5.64","19.29","85.82",".02","4.62","2.32","49.66","37.39","200","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","5064.06","29.39","1751223","14.76","15.26","42.05","100","-2.85","11.87","9.31","29.39","20.06","152","Medical","Medical - Biomedical and Genetics","33.42","2"
"ACI Worldwide","ACIW","5335.48","52.85","1195407","-7.88","-6.34","23.48","66.24","-2.4","10.38","17.86","60.18","38.47","85","Computer and Technology","Computer - Software","12.4","2"
"ACM Research","ACMR","5134.44","79.41","1062288",".98","-15.59","25.55","53.89","77.73","15.24","10.69","126.89","23.92","108","Computer and Technology","Semiconductor Equipment - Material Services","14.48","3"
"ACV Auctions","ACVA","1267.49","7.26","3125151","-6.8","6.61","20.6","31.41","-20.07","19.22","3.47","14.05","4.15","201","Business Services","Auction and Valuation Services","-7.88","3"
"ADEIA INC","ADEA","3072.41","27.86","1274246",".25",".65","1.68","73.64","42.6","17.91","44.9","33.63","11.74","161","Business Services","Technology Services","26.05","3"
"ADMA Biologics","ADMA","2259.78","9.75","2746739","11.56","8.7","16.35","16.82","-52.8","19.63","33.47","20.38","7.6","152","Medical","Medical - Biomedical and Genetics","32.98","3"
"ADT","ADT","5486.5","7.51","8143589","-4.7","10.77","7.59","47.45","-17.83","4.72","14.42","8.85","6.3","91","Industrial Products","Security and Safety Services","11.85","2"
"ADTRAN Holdings, Inc.","ADTN","621.7","7.63","2569785","-13.88","-38.62","-49","3.13","-22.48","17.46","2.48","19.4","7.25","84","Computer and Technology","Communication - Components","-2.29","4"
"AES","AES","10508.95","14.73","7200453",".14","-.2","1.38","46.54","-9.31","-.37","15.08","17.28","12.51","151","Utilities","Utility - Electric Power","14.3","3"
"AGCO","AGCO","7064.1","100.87","903820","-2.93","-11.58","-10.87","1.81","-14.63","-13.55","4.18","140.49","100.14","108","Industrial Products","Manufacturing - Farm Equipment","5.15","4"
"AGNC Investment","AGNC","12755.78","10.76","21034340","1.13","-2.09","4.47","50.35","-11.38","19.46","186.81","12.17","9.33","196","Finance","REIT and Equity Trust","57.94","3"
"AH Realty Trust Inc","AHRT","678.8","6.74","680924","-2.88","-4.53","1.81","65.97","-10.11","-59.74","-1.97","7.56","5.15","88","Finance","REIT and Equity Trust - Other","-18.23","4"
"AIRO Group Holdings, Inc.","AIRO","265.4","8.44","370514","18.21","39.5","40.43","12.99","-8.9","4.57","-19.98","25.79","5.85","83","Aerospace","Aerospace - Defense","-19.98","3"
"AMC Global Media Inc.","AMCX","488.81","11.85","866294","8.72","18.86","41.92","97.01","9.9","-4.52","1.69","12.03","6","194","Consumer Discretionary","Media Conglomerates","-.88","1"
"AMETEK","AME","57960.86","252.88","1191537","3.74","8.95","12.06","97.51","8.75","6.63","23.32","254.76","179.28","7","Computer and Technology","Electronics - Testing Equipment","20.04","2"
"AMN Healthcare Services","AMN","1417.52","36.6","773457","10.91","7.71","26.82","100","105.05","-8.49","3.97","36.6","15.1","200","Business Services","Business - Services","3.06","3"
"ANI Pharmaceuticals","ANIP","1723.2","75.76","341915","-5.37","-6.56","-4.51","22.65","-15.26","43.78","18.68","98.81","69.01","152","Medical","Medical - Biomedical and Genetics","11.07","4"
"APA","APA","14371.42","41.02","5587065","11.26","18.32","2.17","86.48","48.07","-5.31","21.07","44.39","19.46","213","Oils-Energy","Oil and Gas - Exploration and Production - United States","19.48","3"
"APi Group","APG","18289.02","42.32","2865051","6.22","2.22",".21","55.08","-2.34","12.72","15.24","49.4","33.64","200","Business Services","Business - Services","3.99","3"
"ARM Holdings PLC Sponsored ADR","ARM","286084.91","267.85","6197149","12.04","-10.42","24.51","48.76","116.35","22.79","38.85","439.46","104.55","42","Computer and Technology","Electronics - Semiconductors","20.25","3"
"ARMOUR Residential REIT","ARR","2341.29","16.54","4059460","1.29","-1.96",".67","49.11","-17.45","45.28","148.59","19.12","14.05","196","Finance","REIT and Equity Trust","44.9","3"
"ARS Pharmaceuticals, Inc.","SPRY","586.88","5.91","2446537","8.24","-23.64","-19.04","6.23","-55.21","-5.46","-200","17.65","5.13","148","Medical","Medical - Drugs","-200","3"
"ASE Technology","ASX","83581.92","37.59","9146663","2.48","-7.32","18.77","78.78","106.15","11.82","8.52","45.12","9.63","42","Computer and Technology","Electronics - Semiconductors","8.52","1"
"ASHLAND INC","ASH","3453.75","75.4","839469","5.09","14.38","33.05","96.37","13.47","-13.68","8.19","76.45","47.49","150","Basic Materials","Chemical - Specialty","2.82","3"
"ASML Holding","ASML","681749.44","1733.48","1917545","5.54",".43","17.73","79.94","43.06","20.81","30.11","1989.44","713.12","7","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","30.11","3"
"AST SpaceMobile","ASTS","26687.45","68.76","16228181","8.25","1.75","-20.81","33.12","-16.41","1505.21","-450.39","133.09","36.91","108","Computer and Technology","Wireless Equipment","-536.66","3"
"AT&T","T","164799.88","24.05","75551224","1.95","11.6","-1.56","39.06","-14.51","2.71","12.77","29.62","20.48","185","Computer and Technology","Wireless National","16.94","3"
"ATI INC","ATI","31072.72","228.19","1657073","18.16","24.18","52.51","100","75.56","5.16","11.84","228.19","71.34","59","Aerospace","Aerospace - Defense Equipment","10.09","2"
"AXT","AXTI","4828.88","73.81","12010552","7.49","46.27","-30.29","51.71","298.59","-11.11","6.27","140.83","2.05","42","Computer and Technology","Electronics - Semiconductors","3.23","3"
"Abacus Global Management, Inc.","ABX","913.18","9.52","582668","-10.44","-13.46","1.49","64.47","-1.69","110.18","33.55","12","5.02","156","Finance","Financial - Miscellaneous Services","10.55","2"
"AbbVie","ABBV","438111.63","247.97","5702561","1.17","-.01","18.41","76.75","-4.18","8.57","30.03","263.3","197.38","211","Medical","Large Cap Pharmaceuticals","9.8","4"
"Abbott Laboratories","ABT","187954.23","108.62","11964575","1.4","17.92","23.56","48.21","-23.45","5.67","19.79","136.62","82.56","148","Medical","Medical - Products","11.65","3"
"Abercrombie & Fitch","ANF","5266.49","118.53","976328","8.92","29.41","64.74","82.38","-16.86","6.42","8.8","129.85","65.61","101","Retail-Wholesale","Retail - Apparel and Shoes","9.34","3"
"Academy Sports and Outdoors","ASO","3094.1","49.89","1101727","2.74","7.31","-.18","41.93","-11.83","2.02","6.56","61.19","41.73","93","Consumer Discretionary","Leisure and Recreation Products","6.24","3"
"Acadia Healthcare","ACHC","2958.73","31.78","2953107","3.89","3.99","25.56","84","97.74","5.04","4.14","35.61","11.68","214","Medical","Medical - Hospital","-33.44","3"
"Acadia Realty Trust","AKR","2782.36","20.26","1449710","-9.35","-5.06","-3.71","43.19","-12.91","14.2","12.14","22.72","18.39","101","Finance","REIT and Equity Trust - Retail","12.14","2"
"Acadian Asset Management Inc.","AAMI","3219.66","90.72","414713","1.05","15.11","30.83","97.6","70.43","11.49","24.38","91.92","41.93","156","Finance","Financial - Miscellaneous Services","15.17","1"
"Accelerant Holdings","ARX","2627.14","12.04","2222342",".17","-9.75","-24.32","12.95","-34.98","51.49","26.6","30.05","9.36","76","Finance","Insurance - Brokerage","-135.47","2"
"Accenture","ACN","119037.28","178.25","7491750","7.53","28.68",".39","32.79","-41.34","7.36","11.72","288.54","124.44","107","Computer and Technology","Computers - IT Services","10.66","3"
"Aclaris Therapeutics","ACRS","824.96","5.9","2161711","6.69","7.27","34.09","90.4","73.07","-58.19","-921.5","6.36","1.57","148","Medical","Medical - Drugs","-921.5","2"
"Acuren Corporation","TIC","2254.22","10.33","2405740","31.76","45.08","14.78","47.67","-9.79","39.45","-.91","14.49","6.54","161","Business Services","Technology Services","-5.64","3"
"Acushnet","GOLF","5340.56","91.44","341787","-10.52","-16.22","6.29","39.3","1.15","4.14","8.75","118.53","73.9","93","Consumer Discretionary","Leisure and Recreation Products","8.12","3"
"Adamas Trust, Inc.","ADAM","879.92","9.79","871114","3.71","8.06","11.38","99.07","18.41","50.01","73.83","9.82","6.58","196","Finance","REIT and Equity Trust","29.82","1"
"AdaptHealth","AHCO","709.47","5.22","3433772","-51.8","-49.27","-51.31","0","-53.73","-.49","2.16","13.38","5.22","148","Medical","Medical - Products","-7.07","3"
"Adaptive Biotechnologies","ADPT","4061.71","25.45","2815404","10.13","21.08","100.24","100","38.37","54.77","-24.02","25.45","12.15","152","Medical","Medical - Biomedical and Genetics","-20.73","3"
"Adecoagro","AGRO","1377.29","9.66","676652","1.9","-6.94","-28.23","31.16","7.56","-6","-2.59","15.25","7.13","93","Consumer Staples","Agriculture - Operations",".95","3"
"Adient","ADNT","1442.48","18.71","944209","-10.95","-2.55","-9.35","9.8","-13.83","-1.04",".98","27.09","17.8","166","Auto-Tires-Trucks","Automotive - Original Equipment",".32","4"
"Adobe","ADBE","108501.59","272.96","5477979","8.6","18.36","6.78","45.71","-31.14","10.53","37.44","367.46","193.41","85","Computer and Technology","Computer - Software","28.69","3"
"Advance Auto Parts","AAP","3365.24","55.73","1467899",".09",".76","10.14","66.8","25.21","-5.42","2.28","64.17","38.75","79","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".51","3"
"Advanced Drainage Systems","WMS","10682.67","141.67","679192","-2.4","-4.03","4.72","26.53","-13.63","5.03","16.46","175.38","129.5","108","Construction","Building Products - Miscellaneous","14","3"
"Advanced Energy Industries","AEIS","12595.46","314.49","751938","6.11","5.35","1.76","69.42","32.62","21.37","16.54","389.05","145.25","7","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","10.77","1"
"Advanced Micro Devices","AMD","766544.94","469.56","29864038","-3.11","-12.13","11.54","74.09","93.59","34.34","23.02","580.91","151.14","43","Computer and Technology","Computer - Integrated Systems","15.58","3"
"Aebi Schmidt Holding AG","AEBI","988.2","12.75","305346","-4.21","7.23","2.57","55.1","-11.01","40.58",".48","15.61","9.24","63","Auto-Tires-Trucks","Automotive - Domestic",".48","3"
"Aehr Test Systems","AEHR","3464.29","106.2","3490227","15.8","56.13","27.08","89.54","364.43","-15.21","1.82","116.58","17.38","21","Computer and Technology","Electronics - Measuring Instruments","-14.25","1"
"AerSale","ASLE","276.82","5.8","397224","-10.63","-3.81","-7.5","0","-27.97","-2.83","1.69","9","5.8","59","Aerospace","Aerospace - Defense Equipment","-1.23","3"
"Aercap","AER","24961.39","149.58","1055515","-2.65",".3","7","87.72","-8.13","6.5","35.97","155.24","109.16","91","Transportation","Transportation - Equipment and Leasing","37.85","1"
"AeroVironment","AVAV","9572.51","189.15","1339898","18.83","33.39","17.11","19.21","-30.96","140.89","8.18","409.83","136.68","59","Aerospace","Aerospace - Defense Equipment","-9","3"
"Aeva Technologies","AEVA","1493.44","23.69","1863497","28.68","25.94","21.8","72.14","57.51","99.44","-477.41","29.29","9.19","166","Auto-Tires-Trucks","Automotive - Original Equipment","-150.12","4"
