Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","8018.11","61.54","3311233","-3.65","24.5","83.7","93.34","252.07","5.25","-12.18","65.12","11.34","77","Medical","Medical Info Systems","-12.18","3"
"3M","MMM","89910.97","174.34","2652884","-2.11","-.98","14.12","77.83","-1.09","1.52","18.35","183.78","141.2","177","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","810.43","14.67","1019664","-8.88","45.68","46.55","80.32","76.03","230194.59","-194.74","16.76","6.14","149","Medical","Medical - Drugs","-194.74","3"
"908 Devices","MASS","443.51","10.73","537829","3.67","40.45","21.65","93.84","87.21","-5.76","-27.88","11.1","5.09","100","Medical","Medical - Instruments","-56.96","3"
"A. O. Smith","AOS","8206.19","60.38","1377264","-3.28",".95","5.91","18.63","-17.98",".32","13.6","80.47","55.78","101","Industrial Products","Manufacturing - Electronics","13.15","3"
"A10 Networks","ATEN","1866.05","25.7","1473994",".67","-14.19","-18.93","42.44","35.3","11.03","23.3","38.11","16.55","75","Computer and Technology","Internet - Software","13.85","3"
"A2Z Cust2Mate Solutions Corp.","AZ","282.86","6.35","641835","-7.7","12.99","-6.2","29.93","-9.82","10.26","-241.67","9.23","5.12","75","Computer and Technology","Internet - Software","-241.67","3"
"AAON","AAON","6255.79","75.87","1263191","-6.15","-13.38","-47.18","3.18","-9.25","20.11","8.29","148.25","73.49","32","Construction","Building Products - Air Conditioner and Heating","8.24","3"
"AAR","AIR","5313.22","133.19","378638",".6","-4.51","15.29","74.28","45.35","18.97","5.89","153.71","73.92","37","Aerospace","Aerospace - Defense Equipment","5.67","1"
"ABCELLERA BIOLG","ABCL","3480.03","11.35","10410521","-1.9","99.47","78.18","88.17","221.04","160.56","-248.83","12.5","2.78","160","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2765.02","47.2","364722",".21","-.84","18.36","80.15","-1.3","4.62","2.32","49.63","37.39","183","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","5015.83","29.11","1794110",".24","9.64","34.02","86.11","-1.44","11.87","9.31","30.57","20.06","160","Medical","Medical - Biomedical and Genetics","33.42","3"
"ACI Worldwide","ACIW","5434.41","53.83","1065356","4.38","-6.69","27.08","70.75",".43","10.38","17.86","60.18","38.47","96","Computer and Technology","Computer - Software","12.4","1"
"ACM Research","ACMR","4811.77","74.42","882064","-5.22","-5.38","-17.5","47.56","80.66","15.24","10.69","126.89","26.83","1","Computer and Technology","Semiconductor Equipment - Material Services","14.48","1"
"ACV Auctions","ACVA","1215.83","7.16","4939396","-6.65","-10.83","21.98","39.3","-20.29","19.22","3.47","11.81","4.15","51","Business Services","Auction and Valuation Services","-7.88","3"
"ADEIA INC","ADEA","2836.4","25.72","1013628","-4.6","1.26","-20.52","63.86","34.59","17.91","44.9","33.63","11.74","153","Business Services","Technology Services","26.05","3"
"ADMA Biologics","ADMA","2092.02","9.34","2302132","-4.3","7.73","17.04","13.62","-53.98","19.63","33.47","20.38","7.6","160","Medical","Medical - Biomedical and Genetics","32.98","3"
"ADT","ADT","5508.42","7.54","7393498","2.31",".4","11.87","48.63","-18.15","4.72","14.42","8.85","6.3","61","Industrial Products","Security and Safety Services","11.85","2"
"ADTRAN Holdings, Inc.","ADTN","629.03","7.72","2232690","-1.78","-8.31","-55.3","3.87","-20.62","17.46","2.48","19.4","7.25","35","Computer and Technology","Communication - Components","-2.29","4"
"AES","AES","10508.96","14.73","7446845","-.27","-.81","0","46.54","-8.92","-.37","14.52","17.28","12.51","160","Utilities","Utility - Electric Power","14.3","3"
"AGCO","AGCO","7940.93","113.39","938839","9.01","5.84","-5.41","35.54","-5.87","-13.55","4.18","140.49","98.45","71","Industrial Products","Manufacturing - Farm Equipment","5.15","4"
"AGNC Investment","AGNC","12921.74","10.9","15446656","-.18","-.18","5.93","48.79","-9.64","19.46","186.81","12.17","9.69","233","Finance","REIT and Equity Trust","57.94","3"
"AH Realty Trust Inc","AHRT","487.84","6.54","627077","-1.36","-7.37","-3.54","57.68","-11.32","-59.74","-1.97","7.56","5.15","80","Finance","REIT and Equity Trust - Other","-18.23","4"
"AIRO Group Holdings, Inc.","AIRO","244.87","7.76","594567","-5.83","18.47","-17.18","9.58","-13.08","4.57","-23.86","25.79","5.85","150","Aerospace","Aerospace - Defense","-23.86","3"
"AMC Global Media Inc.","AMCX","522.22","12.66","797961","3.86","30.38","29.85","97","14.87","-4.52","1.69","12.85","6.52","153","Consumer Discretionary","Media Conglomerates","-.88","1"
"AMETEK","AME","54149.21","236.25","1323561","-1.18","-1.57","3.27","71.9","5.09","6.63","23.32","258.52","179.28","21","Computer and Technology","Electronics - Testing Equipment","20.04","3"
"AMN Healthcare Services","AMN","1340.83","34.62","758331","-.49","-.26","13.1","90.79","97.09","-8.49","3.97","36.6","15.1","183","Business Services","Business - Services","3.06","3"
"ANI Pharmaceuticals","ANIP","1672.91","72.83","415035","-5.81","-9.45","-8.04","8.26","-17.55","43.78","18.68","98.81","70.49","160","Medical","Medical - Biomedical and Genetics","11.07","3"
"APA","APA","14903.97","42.54","5928433","-4.17","17.09","11.3","91.86","53.42","-5.31","21.07","44.39","21.66","182","Oils-Energy","Oil and Gas - Exploration and Production - United States","19.48","3"
"APTIV PLC","APTV","9499.21","45.75","4857939","-2.72","-21.24","-37.26",".72","-47.12","3.47","8.45","88.67","45.44","153","Business Services","Technology Services","1.17","4"
"APi Group","APG","17152.43","39.69","2446304","-5.34","1.25","-6.39","38.39","-4.53","12.72","15.24","49.4","33.64","183","Business Services","Business - Services","3.99","3"
"ARM Holdings PLC Sponsored ADR","ARM","255324.28","239.05","4457450","-4.65","-1.03","-39.24","40.16","106.73","22.79","38.85","439.46","104.55","40","Computer and Technology","Electronics - Semiconductors","20.25","3"
"ARMOUR Residential REIT","ARR","2310.14","16.32","3254721","0","-.79","-5.23","44.77","-17.86","45.28","148.59","19.12","14.05","233","Finance","REIT and Equity Trust","44.9","3"
"ARS Pharmaceuticals, Inc.","SPRY","585.74","5.89","1909719","6.99","4.62","-35.06","8.68","-54.17","-5.46","-184.25","13.89","5.13","149","Medical","Medical - Drugs","-184.25","3"
"ASE Technology","ASX","84449.1","37.78","7003968","3.48","8.66","-1.61","79.15","113.94","11.82","8.52","45.12","9.91","40","Computer and Technology","Electronics - Semiconductors","8.52","3"
"ASHLAND INC","ASH","3406.59","74.37","625575","2.13","2.3","30.31","92.82","11.59","-13.68","8.19","76.45","47.49","87","Basic Materials","Chemical - Specialty","2.82","3"
"ASML Holding","ASML","667072.63","1696.16","1202205","-3.09","2.71","-3.49","76.79","43.6","20.81","30.11","1989.44","725.85","9","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","30.11","3"
"AST SpaceMobile","ASTS","22591.14","58.05","11024403","-10.77","-.67","-45.89","21.98","-25.1","1505.21","-450.39","133.09","36.91","101","Computer and Technology","Wireless Equipment","-536.66","3"
"AT&T","T","178230.56","26.01","37717452","3.42","12.06","14.23","60.5","-9.35","2.71","12.77","29.62","20.48","193","Computer and Technology","Wireless National","16.94","3"
"ATI INC","ATI","28699.19","210.76","1535000",".74","15.87","16.38","86.6","65.52","5.16","11.84","231.78","74.88","37","Aerospace","Aerospace - Defense Equipment","10.09","1"
"AXT","AXTI","3844.54","58.63","12993042","-19.82","24.9","-44.68","40.46","262.42","-11.11","6.27","140.83","2.77","40","Computer and Technology","Electronics - Semiconductors","3.23","1"
"Abacus Global Management, Inc.","ABX","952.49","9.74","571622","6.33","-6.97","9.81","67.62","1.8","110.18","33.55","12","5.02","153","Finance","Financial - Miscellaneous Services","10.55","2"
"AbbVie","ABBV","451380.25","255.48","4983469","-2.43","-.75","13.58","84.71",".04","8.57","30.03","265.97","197.38","101","Medical","Large Cap Pharmaceuticals","9.8","3"
"Abbott Laboratories","ABT","194616.19","112.47","7702939","-1.46","6.5","23.89","55.33","-21.14","5.67","19.79","136.62","82.56","91","Medical","Medical - Products","11.65","3"
"Abercrombie & Fitch","ANF","6594.6","148.42","2061952","41.33","48.04","91.12","100","2.53","6.42","8.59","148.42","65.61","75","Retail-Wholesale","Retail - Apparel and Shoes","10.03","1"
"Academy Sports and Outdoors","ASO","2697.78","43.5","1500816","-4.71","-10.03","-14.87","9.1","-24.45","2.02","6.56","61.19","41.73","87","Consumer Discretionary","Leisure and Recreation Products","6.24","3"
"Acadia Healthcare","ACHC","2658","28.55","1795166","5.86","1.46","13.25","70.5","88.57","5.04","4.14","35.61","11.68","62","Medical","Medical - Hospital","-33.44","3"
"Acadia Realty Trust","AKR","2845.54","20.72","1440718","-1.47","-7.62","-5.56","49.37","-9.9","14.2","12.14","22.72","18.77","169","Finance","REIT and Equity Trust - Retail","12.14","3"
"Acadian Asset Management Inc.","AAMI","3398.52","95.76","351978","5.4","14.07","26.3","97.2","83.33","11.49","24.38","97.31","41.93","153","Finance","Financial - Miscellaneous Services","15.17","4"
"Accel Entertainment","ACEL","963.76","11.87","309479","-1.9","-.75","-1.66","59.47","-9.2","8.12","4.58","13.41","9.61","186","Consumer Discretionary","Gaming","4.08","3"
"Accelerant Holdings","ARX","4285.14","19.73","7254422",".82","76.16","33.76","52.03","6.63","51.49","27.02","29.29","9.36","166","Finance","Insurance - Brokerage","-113.08","2"
"Accenture","ACN","126623.64","189.61","5599064","4.55","16.12","6.01","39.71","-38.16","7.36","11.72","288.54","124.44","81","Computer and Technology","Computers - IT Services","10.66","3"
"Aclaris Therapeutics","ACRS","840.34","6.01","1959248","-5.06","12.97","27.6","88.89","81.21","-58.19","-921.5","6.53","1.81","149","Medical","Medical - Drugs","-921.5","3"
"Acuren Corporation","TIC","2086.18","9.56","2442572","5.99","31.68","13","37.99","-14.08","39.45","-.91","14.49","6.54","153","Business Services","Technology Services","-5.64","3"
"Acushnet","GOLF","5075.98","86.91","454214","-2.62","-13.43","-2.34","29.15","-5.76","4.14","8.75","118.53","73.9","87","Consumer Discretionary","Leisure and Recreation Products","8.12","3"
"Adamas Trust, Inc.","ADAM","880.82","9.8","878116","-1.31","9.62","7.69","88.22","19.35","50.01","73.83","10.23","6.58","233","Finance","REIT and Equity Trust","29.82","1"
"AdaptHealth","AHCO","789.43","5.79","4657768","7.42","-45.79","-40.49","6.99","-48.44","-.49","2.16","13.38","5.22","91","Medical","Medical - Products","-7.07","3"
"Adaptive Biotechnologies","ADPT","4020.22","25.19","2164396","-.98","4.18","39.33","91.09","44.16","54.77","-24.02","26.44","12.41","160","Medical","Medical - Biomedical and Genetics","-20.73","3"
"Adecoagro","AGRO","1531.28","10.74","926143","-1.83","5.71","-11.31","44.46","19.36","-6","-.4","15.25","7.13","166","Consumer Staples","Agriculture - Operations","3.03","4"
"Adobe","ADBE","115879.2","291.52","4344367","7.09","17.6","12.81","56.37","-26.85","10.53","37.44","367.46","193.41","96","Computer and Technology","Computer - Software","28.69","4"
"AdvanSix","ASIX","445.25","16.49","314046","-4.85","-19.95","-25.25","18.45","-16.21",".31","-.33","26.17","14.3","87","Basic Materials","Chemical - Specialty","-1.14","4"
"Advance Auto Parts","AAP","2591.16","42.9","2368342","1.2","-23.65","-23.24","16.33","-1.61","-5.42","2.53","64.17","38.75","71","Retail-Wholesale","Automotive - Retail and Wholesale - Parts",".97","3"
"Advanced Drainage Systems","WMS","10329.73","136.99","702180","-3.83","-.42","4.41","16.33","-15.13","5.03","16.46","175.38","129.5","163","Construction","Building Products - Miscellaneous","14","3"
"Advanced Energy Industries","AEIS","10926.44","272.82","623280","-6.77","-.53","-14.99","52.33","21.42","21.37","16.54","389.05","145.25","9","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","10.77","1"
"Advanced Micro Devices","AMD","760047.69","465.58","22999400","-.83","-4.08","-11.01","73.16","97.08","34.34","23.02","580.91","151.14","49","Computer and Technology","Computer - Integrated Systems","15.58","3"
"Aebi Schmidt Holding AG","AEBI","958.4","12.35","455562","3.69","-4.78","1.56","48.82","-13.55","40.58","1.09","15.61","9.24","51","Auto-Tires-Trucks","Automotive - Domestic","1.09","2"
"Aehr Test Systems","AEHR","2636.02","80.81","2390201","-23.74","5.13","-30.68","48.66","296.73","-15.21","1.82","145.61","19.4","31","Computer and Technology","Electronics - Measuring Instruments","-14.25","2"
"Aercap","AER","24612.69","147.49","992602",".48","-3.52","8.1","78.12","-8.86","6.5","35.97","155.24","119.82","173","Transportation","Transportation - Equipment and Leasing","37.85","2"
"AeroVironment","AVAV","7518.75","147.94","1206919","-7.42",".93","-27.62","4.12","-44.26","140.89","8.18","409.83","136.68","37","Aerospace","Aerospace - Defense Equipment","-9","3"
"Aeva Technologies","AEVA","985.33","15.63","1937958","-17.17","-5.04","-35.94","32.04","9.28","99.44","-477.41","29.29","9.19","196","Auto-Tires-Trucks","Automotive - Original Equipment","-150.12","3"
"Affirm","AFRM","26041.75","77.76","3069720","3.61","6.16","13.19","70.96","-7.81","31.34","45.29","92.18","42.53","75","Computer and Technology","Internet - Software","45.29","3"
"Aflac","AFL","58416.48","116.52","2009691",".3","-8.51","1.07","45.55","-6.39","-9.31","21.74","129.55","105.62","222","Finance","Insurance - Accident and Health","26.91","3"
