Company Name,Ticker,Market Cap (mil),Last Close,Avg Volume,% Price Change (1 Week),% Price Change (4 Weeks),% Price Change (12 Weeks),Price as a % of 52 Wk H-L Range,Relative Price Change (YTD),Sales Growth F(0)/F(-1),Operating Margin 12 Mo %,52 Week High,52 Week Low,Zacks Industry Rank,Sector,Industry,Net Margin %,Zacks Rank
"10x Genomics","TXG","6025.34","45.6","2913797","2.46","26.66","125.25","94.83","157.91","5.25","-3.55","49.43","11.34","71","Medical","Medical Info Systems","-3.55","3"
"3M","MMM","93902.73","180.71","3918876","2.32","17.7","23.78","99.03",".8","1.52","18.35","182.48","141.2","154","Conglomerates","Diversified Operations","11.9","2"
"4D Molecular Therapeutics","FDMT","537.4","10.55","644498","6.97","-21.05","-1.63","62.53","21.48","230194.59","-182.34","13.3","5.24","151","Medical","Medical - Drugs","-182.34","3"
"A. O. Smith","AOS","8708.01","62.99","1890973","1.84","6.24","10.88","29.97","-16.27",".32","13.6","80.47","55.78","74","Industrial Products","Manufacturing - Electronics","13.15","4"
"A10 Networks","ATEN","2220.42","27.6","1352191","7.16","-16.85","11.22","66.28","54.52","11.03","23.3","38.11","16.55","107","Computer and Technology","Internet - Software","13.85","3"
"AAON","AAON","7630.08","90.28","1075591","9.76","-13.73","-31.19","27.67","8.28","20.11","7.45","148.25","72.07","35","Construction","Building Products - Air Conditioner and Heating","7.3","3"
"AAR","AIR","5857.41","146.4","483314","8.44","10.15","36.62","96.65","57.19","18.97","5.89","149.43","71.73","74","Aerospace","Aerospace - Defense Equipment","5.67","1"
"ABB","ABBNY","185597.13","100.93","461875","10.48","-1.45","-4.35","82.28","21.98","1.13","13.74","109.73","65","74","Industrial Products","Manufacturing - Electronics","13.86","3"
"ABCELLERA BIOLG","ABCL","1807.82","6.53","4899749","9.83","-16.62","24.11","58.8","53.42","160.56","-248.83","8.12","2.78","109","Medical","Medical - Biomedical and Genetics","-248.83","3"
"ABM Industries","ABM","2866.36","48.55","426070","-.87","10.15","26.21","94.05","2.52","4.62","2.32","49.66","37.39","211","Business Services","Business - Services","1.75","3"
"ACADIA Pharmaceuticals","ACAD","4931.59","28.45","1613622","9.34","10.77","29.85","100","-4.43","11.87","9.31","28.8","20.06","109","Medical","Medical - Biomedical and Genetics","33.42","2"
"ACI Worldwide","ACIW","5875.02","55.22","1023932","-3.97","3.42","41.61","88.99","7.13","10.38","17.1","60.18","38.47","87","Computer and Technology","Computer - Software","11.51","2"
"ACM Research","ACMR","4892.52","78.98","1011113","22.36","-18.53","23.4","54.37","79.51","15.24","10.75","126.89","23.92","109","Computer and Technology","Semiconductor Equipment - Material Services","9.48","3"
"ACV Auctions","ACVA","1340.81","7.45","2889719","-4.83","9.87","35.93","34.68","-15.13","19.22","3.8","14.33","4.15","203","Business Services","Auction and Valuation Services","-7.97","3"
"ADEIA INC","ADEA","3298.89","28.31","1310308","29.15","4.65","-5.71","83.01","53.68","17.91","44.9","33.63","11.74","163","Business Services","Technology Services","26.05","3"
"ADT","ADT","5646","7.65","8106214","3.91","14.41","12.57","54.9","-15.43","4.72","14.42","8.85","6.3","109","Industrial Products","Security and Safety Services","11.85","3"
"AECOM","ACM","9626.37","74.93","1521157","1.81","10.33","6.21","11.91","-30.36",".21","9.55","134.35","66.86","96","Construction","Engineering - R and D Services","3.16","4"
"AES","AES","10487.55","14.7","7830110","-.81",".41","1.87","45.91","-9.14","-.37","15.08","17.28","12.51","175","Utilities","Utility - Electric Power","14.3","3"
"AGCO","AGCO","7271.4","101.63","867835","-10.62","-8.7","-10.46","9.15","-11.79","-13.55","4.18","140.49","100.14","109","Industrial Products","Manufacturing - Farm Equipment","5.15","4"
"AGNC Investment","AGNC","12649.09","10.61","20506250","-2.11","-2.47",".38","47.18","-11.78","19.46","186.81","12.17","9.33","183","Finance","REIT and Equity Trust","57.94","3"
"AH Realty Trust Inc","AHRT","698.95","6.9","685200","-1.7","-1.42","7.93","74.27","-7.08","-59.74","-1.97","7.56","5.15","85","Finance","REIT and Equity Trust - Other","-18.23","4"
"AIRO Group Holdings, Inc.","AIRO","239.3","7.86","370777","21.86","15.13","-2.81","8.83","-17.55","4.57","-19.98","25.79","5.85","89","Aerospace","Aerospace - Defense","-19.98","3"
"AMC Global Media Inc.","AMCX","528.45","11.87","818099","17.37","19.46","43.38","100","12","-4.52","1.69","12.03","5.92","166","Consumer Discretionary","Media Conglomerates","-.88","1"
"AMETEK","AME","58391.75","251.38","1143629","8.29","10.12","10.09","100","9.98","6.63","23.32","254.76","179.28","20","Computer and Technology","Electronics - Testing Equipment","20.04","2"
"AMN Healthcare Services","AMN","1272.18","30.8","724874","-5.48","2.24","6.25","85.63","84.46","-8.49","3.43","35.77","15.1","211","Business Services","Business - Services","-.95","3"
"APA","APA","12248.86","36.53","5254779","-5.56","-1.14","-6.25","63.05","25.59","-5.31","21.07","44.39","18.06","212","Oils-Energy","Oil and Gas - Exploration and Production - United States","19.48","4"
"APTIV PLC","APTV","9760.84","46.3","3417550","-18.91","-19.74","-13.28","0","-45.24","3.47","8.45","88.67","47.01","163","Business Services","Technology Services","1.17","4"
"APi Group","APG","18055.66","41.25","2861999","8.66",".75","-3.42","51.65","-3.21","12.72","15.24","49.4","33.64","211","Business Services","Business - Services","3.99","3"
"ARKO","ARKO","825.69","7.29","583538","-4.91","-9.02","6.05","73.44","43.69","-12.47",".38","8.64","3.82","209","Consumer Staples","Consumer Products - Staples",".38","3"
"ARM Holdings PLC Sponsored ADR","ARM","293273.03","286.68","6386118","22.09","-8.55","24.13","50.77","122.64","22.79","38.85","439.46","104.55","50","Computer and Technology","Electronics - Semiconductors","20.25","3"
"ARMOUR Residential REIT","ARR","2354.03","16.55","4071856","1.65","-1.54","-4.37","50.89","-16.68","45.28","148.59","19.12","14.05","183","Finance","REIT and Equity Trust","44.9","3"
"ARS Pharmaceuticals, Inc.","SPRY","532.27","5.55","2406675","-8.06","-33.83","-33.08","1.79","-59.22","-5.46","-200","17.98","5.13","151","Medical","Medical - Drugs","-200","2"
"ASE Technology","ASX","81780.88","37.25","9534876","18.19","-7.89","3.69","76.5","102.48","11.82","8.52","45.12","9.63","50","Computer and Technology","Electronics - Semiconductors","8.52","1"
"ASHLAND INC","ASH","3283.39","72.46","726156","-1.57","12.56","26.9","95.5","8.32","-13.68","8.19","72.84","47.49","106","Basic Materials","Chemical - Specialty","2.82","3"
"ASML Holding","ASML","660016.63","1704.37","1964605","8.22","-5.11","6.11","76.06","39.03","20.81","30.11","1989.44","689.63","6","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","30.11","3"
"AST SpaceMobile","ASTS","26539.96","67.36","15661790","28.95","-8.77","-8.6","32.72","-16.56","1505.21","-573.67","133.09","36.91","81","Computer and Technology","Wireless Equipment","-573.67","3"
"AT&T","T","158016.02","23.71","77584824","-3.68","9.19","-6.79","28.23","-17.72","2.71","12.77","29.62","20.48","109","Computer and Technology","Wireless National","16.94","3"
"ATI INC","ATI","27991.45","223.43","1471141","15.28","10.51","24.44","100","58.41","5.16","10.77","205.11","71.34","74","Aerospace","Aerospace - Defense Equipment","9.26","2"
"AXT","AXTI","4488.69","75.17","10947825","85.58","14.12","-43.73","47.96","271.93","-11.11","6.27","140.83","2.05","50","Computer and Technology","Electronics - Semiconductors","3.23","3"
"AZZ","AZZ","4566.63","150.85","328678","7.59","5.82","5.3","86.87","25.66","4.58","11.28","160.17","97.64","74","Industrial Products","Manufacturing - Electronics","11.83","3"
"Abacus Global Management, Inc.","ABX","1012.94","10.4","582937","2.52","-9.2","14.16","79.37","9.47","110.18","33.72","12","5.02","157","Finance","Financial - Miscellaneous Services","15.63","2"
"AbbVie","ABBV","434984.41","243.87","5790188","-6.49","-2.59","18.08","74.48","-4.5","8.57","30.03","263.3","196.3","216","Medical","Large Cap Pharmaceuticals","9.8","3"
"Abbott Laboratories","ABT","182918.81","107.96","12215354","-2.12","11.06","26.1","42.82","-25.22","5.67","19.79","136.62","82.56","163","Medical","Medical - Products","11.65","3"
"Abercrombie & Fitch","ANF","4863.05","110.48","993719","6.79","25.98","52.22","68.24","-22.93","6.42","8.8","129.85","65.61","94","Retail-Wholesale","Retail - Apparel and Shoes","9.34","2"
"Academy Sports and Outdoors","ASO","2968.82","47.35","1200185","-2.45","7.67","-4.2","31.55","-15.08","2.02","6.56","61.19","41.73","89","Consumer Discretionary","Leisure and Recreation Products","6.24","2"
"Acadia Healthcare","ACHC","3001.55","30.72","3172448","17.88","4.88","18.75","85.92","101.37","5.04","4.14","35.61","11.68","218","Medical","Medical - Hospital","-33.44","3"
"Acadia Realty Trust","AKR","2951.28","20.71","1317001","-5.04",".84","1.61","71.59","-7.27","14.2","12.14","22.72","18.39","76","Finance","REIT and Equity Trust - Retail","12.14","3"
"Acadian Asset Management Inc.","AAMI","3256.85","91.56","426655","13.09","18.12","30.18","99.01","72.38","11.49","24.38","91.92","40.62","157","Finance","Financial - Miscellaneous Services","15.17","1"
